,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,psn/honyomiwo104nen,psn,448.4246762522903,86.0,1.7136921441685187,77.0,35470,94.0,20698,,4132899,94.0,6343,,36616,,1146,,924254,,176086,,19.05168925425262,,26,,167,,3887,,5202,,5476,,1752,,150.0,,1.1015185863793049,85.0,128.3469146920903,,24218,,5252,,5018,,10341,,2286,,1656,,11958,,393,,7854,,51.4,,845,92.0,798,,0,,1656,,1615,,212,,0,,1932065,,14439723,,19456772,,5350225,,3242898,,5846600,,1828346,,2222075,,3193000,,390000,,390000,,390000,,390000,,4257,,175965,,129072,,45656,,99.81030843218981,,16619,,9464,,1.0846495235608928,,1.7560228233305157,82.0,919330,,435211,,86109,,19.785575272683825,,6730039,96.9,439.2402427881478,85.0,11820,,6882,,1.215799218267846,,1.7175239755884917,82.0,583320,,340498,,58368,,17.141950907200627,,4690118,95.9,482.42316395803334,83.0,5421,,3314,,1.092503022974607,,1.6357875678937839,77.0,297745,,113494,,25688,,22.633795619151673,,2071654,93.0,417.5038291011689,79.0,1420,,883,,0.7569296375266524,,1.608154020385051,78.0,112585,,29028,,5397,,18.592393551054155,,811097,85.0,432.3544776119403,91.0,330,,0,,1.284046692607004,,0.0,,15435,,0,,0,,0.0,,175965,70.0,684.6887159533073,57.0,9,,0,,0.15,,0.0,,3650,,0,,0,,0.0,,4257,61.0,70.95,42.0
1,origin/rodr1ick_heffley,origin,199.3540382614264,13.0,1.0385931298754618,43.0,15178,88.0,14614,,1946243,88.0,3685,,15705,,527,,688661,,65044,,9.444995433166682,,31,,175,,1072,,1539,,2543,,1529,,429.0,,0.4049734517996745,19.0,51.928893513701006,,33581,,2350,,2081,,5974,,1355,,1976,,8443,,259,,3930,,43.9,,849,92.0,1082,,1,,1976,,1909,,159,,0,,2248755,,7471590,,12378681,,3664843,,1804082,,2002665,,1081699,,1121105,,3848000,,390000,,390000,,390000,,390000,,458553,,1891362,,1810132,,79284,,99.78783555018138,,3380,,4739,,0.3606102635228849,,0.7132306393753957,24.0,562410,,146678,,19191,,13.083761709322461,,1842327,88.0,196.5568121199189,15.0,1138,,1828,,0.33441081398765793,,0.6225382932166302,21.0,204180,,63846,,6832,,10.700748676502835,,787281,80.0,231.34910373200117,15.0,1480,,1709,,0.36724565756823824,,0.8660035108250439,34.0,241815,,78626,,8184,,10.408770635667592,,804208,83.0,199.55533498759306,15.0,3763,,3813,,0.33154185022026433,,0.98688696564385,46.0,681020,,80331,,9655,,12.01902129937384,,1918663,93.0,169.04519823788547,18.0,4642,,0,,0.7114176245210728,,0.0,,391515,,0,,0,,0.0,,1891362,95.1,289.863908045977,5.0,1265,,0,,0.45243204577968527,,0.0,,167815,,0,,0,,0.0,,458553,93.0,164.00321888412017,73.0
2,psn/thenewmoneykid,psn,330.46329785274946,55.0,1.9213675213675214,83.0,23604,92.0,12285,,2779564,91.0,4858,,24473,,869,,524140,,108281,,20.65879345213111,,25,,77,,2516,,3477,,6577,,2062,,375.0,,0.8693602445582115,70.0,102.37427719052705,,107748,,4507,,3656,,10481,,987,,1296,,9302,,424,,5128,,46.5,,844,92.0,925,,48,,1817,,1764,,155,,0,,1629100,,8972409,,12016917,,3912320,,2822103,,2235786,,1518875,,1591238,,2354200,,390000,,390000,,390000,,390000,,6193,,228067,,201135,,26085,,99.61798060184034,,6206,,3231,,0.880158842717345,,1.9207675642216033,86.0,423075,,119153,,28366,,23.80636660428189,,2202942,90.0,312.4297262799603,50.0,9222,,5087,,0.9035861258083481,,1.812856300373501,85.0,612385,,223971,,47320,,21.127735287157712,,3702892,94.0,362.81520674113267,51.0,3974,,2007,,0.8768755516328332,,1.9800697558545093,86.0,271950,,118654,,21243,,17.903315522443407,,1419994,90.0,313.3261253309797,48.0,4062,,1828,,0.7938245065468048,,2.2221006564551424,91.0,307075,,35665,,9743,,27.31809897658769,,1510592,91.0,295.21047488762946,63.0,501,,0,,3.4081632653061225,,0.0,,8850,,0,,0,,0.0,,228067,74.0,1551.4761904761904,80.0,9,,0,,0.09375,,0.0,,5765,,0,,0,,0.0,,6193,65.0,64.51041666666667,38.0
3,psn/r0229in,psn,412.14576577700177,79.0,1.4446913188382797,67.0,27309,93.0,18903,,3477180,93.0,6609,,28357,,1048,,741059,,129871,,17.525055359964593,,24,,69,,2821,,3721,,6833,,2519,,350.0,,0.8514903966076328,69.0,108.41793464704415,,84311,,6037,,4038,,8146,,1557,,1677,,8963,,329,,5450,,50.7,,844,92.0,820,,1,,1677,,1655,,192,,0,,1924365,,13218339,,17219160,,4905845,,3480169,,4832325,,1760322,,1793225,,2282000,,390000,,390000,,390000,,390000,,512,,239445,,191121,,47121,,99.15301230835672,,7506,,5290,,0.9084967320261438,,1.4189035916824198,70.0,495755,,189628,,36253,,19.117957263695235,,3348226,93.0,405.2561123214718,78.0,10558,,6972,,1.0343881649848143,,1.5143430866322432,76.0,612455,,352039,,60198,,17.09980996423692,,4876817,96.1,477.7914176545508,82.0,2384,,1721,,0.9226006191950464,,1.3852411388727484,67.0,155080,,95040,,12168,,12.803030303030303,,1028021,86.0,397.8409442724458,74.0,6625,,4804,,0.624175617109478,,1.379059117402165,69.0,636865,,95827,,20047,,20.9199912342033,,3802369,97.3,358.2409082344074,80.0,429,,0,,1.0888324873096447,,0.0,,23645,,0,,0,,0.0,,239445,75.0,607.7284263959391,51.0,0,,0,,0.0,,0.0,,565,,0,,0,,0.0,,512,30.0,56.888888888888886,33.0
4,psn/haikiex3,psn,353.0488834031804,63.0,1.0451914015168513,43.0,23290,92.0,22283,,2895008,92.0,6214,,24236,,946,,1206897,,113127,,9.37337651846015,,71,,571,,2697,,3639,,3889,,4074,,372.0,,0.6685228773178713,50.0,83.09914461220507,,64646,,4018,,5421,,21151,,2643,,1258,,10159,,267,,7225,,52.8,,844,92.0,753,,1,,1606,,1508,,175,,0,,2090330,,12299517,,14610119,,4227764,,3460279,,4611474,,1728759,,2170581,,1407200,,390000,,390000,,390000,,390000,,875,,1100083,,769613,,323134,,99.46468555867585,,5377,,5775,,0.6263979496738118,,0.9310822510822511,39.0,515065,,192130,,24599,,12.803310258679018,,2995505,92.0,348.96376980428704,62.0,4017,,4150,,0.6231771641327956,,0.9679518072289157,46.0,386770,,211082,,22864,,10.831809438985797,,2312560,92.0,358.7589202606267,49.0,10182,,9416,,0.7295786758383491,,1.0813508920985557,49.0,837365,,702671,,54024,,7.688377633344766,,5096313,97.8,365.1700343938091,65.0,2739,,2563,,0.5730125523012553,,1.0686695278969958,52.0,286820,,58276,,7809,,13.400027455556318,,1432465,91.0,299.67887029288704,64.0,3208,,0,,3.0436432637571156,,0.0,,63260,,0,,0,,0.0,,1100083,91.0,1043.7220113851993,71.0,0,,0,,0.0,,0.0,,1050,,0,,0,,0.0,,875,38.0,51.470588235294116,30.0
5,psn/wild-quark780,psn,321.80242371050497,52.0,1.5108143582719853,70.0,26474,93.0,17523,,3141127,92.0,5640,,27478,,1004,,781936,,127970,,16.365789527531664,,38,,87,,2773,,3717,,6498,,2348,,440.0,,0.8936672967863895,72.0,106.0331825546854,,32720,,3440,,3698,,4403,,537,,1355,,8731,,480,,2518,,52.2,,857,92.0,783,,3,,1646,,1564,,164,,0,,1777455,,9533075,,12962419,,4522006,,2137609,,2873460,,1330944,,1167736,,2098400,,390000,,390000,,390000,,390000,,32290,,722343,,658777,,61945,,99.70132871839246,,11576,,8000,,0.9536991267095073,,1.447,71.0,728290,,271144,,58351,,21.520299176821172,,4121662,94.0,339.5668149612786,59.0,6172,,3832,,1.0935506732813607,,1.6106471816283925,79.0,338650,,178302,,33829,,18.972866260614012,,2153209,91.0,381.5040751240255,57.0,3996,,2442,,0.9092150170648464,,1.6363636363636365,77.0,263725,,190456,,22280,,11.698240013441424,,1451204,90.0,330.1943117178612,54.0,3398,,2646,,0.6382419233658904,,1.2842025699168556,64.0,319440,,40304,,7544,,18.71774513695911,,1284757,90.0,241.3142374154771,43.0,1783,,0,,1.0938650306748465,,0.0,,97845,,0,,0,,0.0,,722343,88.0,443.1552147239264,28.0,56,,0,,0.11405295315682282,,0.0,,29505,,0,,0,,0.0,,32290,79.0,65.76374745417515,39.0
6,psn/skyrrata,psn,333.7405450041288,56.0,1.6155962040984735,74.0,23494,92.0,14542,,2717092,91.0,4245,,24185,,691,,1308513,,94357,,7.211009749234436,,47,,263,,1592,,2107,,3238,,1699,,384.0,,0.7760198183319571,62.0,89.74705202312138,,44592,,4800,,2992,,3103,,3230,,1396,,5514,,520,,3295,,60.5,,844,92.0,549,,1,,1396,,1370,,173,,0,,1816510,,10103995,,14261632,,5295948,,1911988,,2896059,,1319637,,1110111,,2838000,,390000,,390000,,390000,,390000,,2606917,,1485358,,1431369,,52753,,99.21998086790155,,2661,,2824,,0.8471824259789876,,0.9422804532577904,40.0,188460,,79921,,13071,,16.354900464208406,,1211741,83.0,385.7819165870742,73.0,6670,,6200,,0.8525051124744376,,1.0758064516129033,53.0,469470,,205983,,34193,,16.59991358510168,,3284806,94.0,419.83716768916156,68.0,1355,,1336,,0.7013457556935818,,1.0142215568862276,45.0,115950,,66622,,6879,,10.325418030080154,,611377,79.0,316.44772256728777,50.0,2433,,2063,,0.6515800749866095,,1.1793504604944256,59.0,224090,,29071,,6436,,22.13890131058443,,1034210,88.0,276.97107659346545,56.0,3297,,0,,0.8217846460618146,,0.0,,240740,,0,,0,,0.0,,1485358,93.0,370.228813559322,15.0,7226,,0,,0.7503634475597093,,0.0,,577800,,0,,0,,0.0,,2606917,98.4,270.7078920041537,87.0
7,origin/fejminhd,origin,444.2018760195759,86.0,2.055578072753065,86.0,40573,95.5,19738,,4981088,95.4,7211,,41747,,1174,,583763,,130494,,22.353934730361466,,61,,516,,2732,,4196,,9788,,3104,,411.0,,1.2728384991843393,91.0,156.26452503450872,,20021,,1423,,2294,,7693,,1183,,1599,,8298,,848,,3837,,49.2,,844,92.0,867,,6,,1719,,1661,,211,,0,,1912615,,14159379,,19310404,,8372255,,2622435,,3164339,,1865356,,1276016,,3289800,,390000,,390000,,390000,,390000,,1481212,,1803726,,1741950,,60033,,99.73738265866099,,7679,,5121,,1.0774519433141574,,1.4995118140988088,73.0,427635,,103896,,26793,,25.788288288288285,,2819834,92.0,395.6551143538656,75.0,1928,,1219,,1.140828402366864,,1.5816242821985234,78.0,101435,,47290,,10539,,22.285895538168745,,754765,80.0,446.6065088757396,75.0,4821,,2416,,1.341029207232267,,1.9954470198675496,87.0,215705,,82170,,25934,,31.56139710356578,,1576776,91.0,438.60250347705147,83.0,15926,,8345,,1.2554986204178162,,1.9084481725584181,86.0,761110,,115488,,33783,,29.252389858686616,,5684604,98.5,448.13590855340954,93.0,5521,,0,,1.6549760191846523,,0.0,,200215,,0,,0,,0.0,,1803726,94.0,540.6852517985611,43.0,4593,,0,,1.3347863993025284,,0.0,,206515,,0,,0,,0.0,,1481212,97.3,430.4597500726533,94.0
8,origin/l3b3n5hauch,origin,434.5702730463066,84.0,1.5532176428054953,72.0,21481,91.0,13830,,2551178,91.0,3963,,22201,,720,,688126,,115917,,16.845316119431615,,25,,369,,1564,,2124,,2763,,1103,,468.0,,0.9193272275956518,74.0,109.1833433193529,,104140,,3809,,2027,,14226,,2575,,1460,,3671,,413,,4442,,59.2,,848,92.0,583,,1,,1460,,1424,,195,,0,,1402000,,10154169,,17778218,,4057421,,2187520,,3909228,,1657692,,1193268,,6925000,,390000,,390000,,390000,,390000,,374419,,915541,,835589,,78101,,99.66067129143016,,6098,,4374,,0.8877565875673314,,1.3941472336534064,69.0,412195,,135306,,29016,,21.444725289344152,,2892890,92.0,421.1515504440239,81.0,7238,,4922,,1.1327073552425666,,1.4705404307192198,74.0,383400,,195552,,45478,,23.25621829487809,,3355406,94.0,525.1026604068858,90.0,4048,,2604,,1.1102578167855184,,1.554531490015361,74.0,218795,,67782,,19326,,28.511994334779146,,1789681,92.0,490.8614920460779,91.0,1595,,1113,,0.5135222150676111,,1.4330637915543576,71.0,186360,,40881,,9187,,22.47254225679411,,939351,87.0,302.4311010946555,65.0,1826,,0,,1.2021066491112573,,0.0,,91165,,0,,0,,0.0,,915541,90.0,602.7261356155366,50.0,916,,0,,0.4994547437295529,,0.0,,110085,,0,,0,,0.0,,374419,92.0,204.15430752453653,80.0
9,origin/henryvarro,origin,413.35457262402866,80.0,2.1503458877786317,88.0,27976,93.0,13010,,3309944,93.0,4539,,28851,,875,,918798,,130908,,14.247745423912548,,42,,374,,1603,,2264,,4683,,1896,,741.0,,1.1148037457660889,86.0,131.89655309822675,,14440,,1132,,1022,,4117,,1369,,1491,,5776,,571,,3277,,57.3,,854,92.0,637,,0,,1491,,1433,,172,,0,,1505725,,10373133,,14189791,,5820203,,1681685,,2871245,,1540658,,859280,,2276000,,390000,,390000,,390000,,390000,,1508587,,1370660,,1280220,,88200,,99.81388200123098,,11586,,5912,,1.1922206215270632,,1.9597428958051422,87.0,583085,,245719,,57234,,23.292460086521597,,4373471,95.0,450.0381765795431,86.0,1588,,977,,0.9968612680477087,,1.625383828045036,80.0,95615,,58212,,12033,,20.67099567099567,,700885,79.0,439.97802887633395,74.0,4301,,2210,,1.1399416909620992,,1.9461538461538461,86.0,226385,,118160,,23222,,19.65301286391334,,1558754,91.0,413.1338457460906,78.0,3375,,1862,,0.9483000842933408,,1.8125671321160044,84.0,213560,,38471,,9520,,24.74591250552364,,1254748,90.0,352.5563360494521,78.0,3796,,0,,1.825,,0.0,,124820,,0,,0,,0.0,,1370660,93.0,658.9711538461538,55.0,4557,,0,,1.0425531914893618,,0.0,,262260,,0,,0,,0.0,,1508587,97.3,345.1354381148479,91.0
