,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,origin/shadowmonster63,origin,256.62839595517045,30.0,1.0192641927480663,42.0,76825,98.1,75373,,10202029,98.4,18745,,79466,,2641,,1364889,,301999,,22.12626814341679,,21,,946,,6106,,8955,,10480,,6966,,461.0,,0.5008769013111142,30.0,66.51429446932801,,16004,,4894,,10273,,10929,,1224,,7481,,50335,,1265,,25340,,48.4,,3619,99.1,3852,,10,,7481,,7378,,395,,0,,9202875,,39361920,,51459992,,14306129,,7327492,,17789120,,5339870,,6261976,,6832000,,390000,,390000,,390000,,390000,,1675,,1236382,,481185,,739785,,99.84234375378944,,29343,,37240,,0.4004121066564777,,0.7879430719656284,29.0,4396920,,752738,,130055,,17.277591937699437,,19338904,99.4,263.89705521137523,34.0,1254,,2125,,0.3284442116291252,,0.5901176470588235,19.0,229110,,67766,,9273,,13.683853259746776,,860056,82.0,225.26348873755893,14.0,19884,,15817,,0.8732159325457819,,1.2571284061452868,60.0,1366265,,186160,,83840,,45.03652771809196,,8190049,99.0,359.6701506301875,64.0,26279,,19819,,0.49149942955467857,,1.3259498461072707,66.0,3208055,,357638,,77848,,21.767261868146,,10795458,99.5,201.90880356107505,29.0,800,,0,,21.05263157894737,,0.0,,2285,,0,,0,,0.0,,1236382,92.0,32536.36842105263,99.5,0,,0,,0.0,,0.0,,240,,0,,0,,0.0,,1675,48.0,418.75,94.0
1,xbl/stijner2005,xbl,206.67831105919538,15.0,0.7765327067814771,25.0,60151,97.2,77461,,8341961,97.7,16027,,62609,,2458,,3063777,,339525,,11.081909682068897,,19,,586,,5320,,7567,,14792,,9261,,499.0,,0.4133095131755248,20.0,57.319277149826505,,128679,,9703,,7785,,45880,,8084,,5254,,52160,,885,,15180,,44.9,,3580,99.1,4344,,52,,7975,,7738,,318,,0,,8732150,,30078928,,36179388,,11736994,,8614448,,9728954,,4124570,,5532586,,7754400,,390000,,390000,,390000,,390000,,27722,,796521,,563979,,227124,,99.56487925696594,,15885,,21516,,0.40850177441752816,,0.7382877858337981,26.0,2333205,,565737,,90962,,16.078495838172156,,7609186,97.4,195.67931903512832,15.0,12225,,16537,,0.4752556078217937,,0.7392513757029691,29.0,1543425,,568425,,67289,,11.837797422703083,,6618206,97.3,257.28748590755356,20.0,18690,,23719,,0.43541059988351777,,0.7879758843121548,29.0,2575510,,1634996,,137713,,8.422834061979357,,9424614,99.2,219.5600232964473,19.0,12942,,14919,,0.3513124677651402,,0.867484415845566,38.0,2210385,,257862,,41558,,16.116372323180617,,5960136,98.6,161.7887564809034,16.0,1091,,0,,1.1224279835390947,,0.0,,58365,,0,,0,,0.0,,796521,89.0,819.466049382716,64.0,5,,0,,0.026737967914438502,,0.0,,11260,,0,,0,,0.0,,27722,78.0,148.24598930481284,70.0
2,psn/xabregas82,psn,444.96817316227515,86.0,1.3473844467450216,62.0,110627,99.0,82105,,13046923,99.0,21418,,114068,,3441,,1652720,,637306,,38.561038772447844,,24,,2719,,11952,,15763,,10053,,3762,,417.0,,0.839310507029217,68.0,98.9850539045726,,186734,,31764,,32549,,178498,,8887,,4841,,43532,,1914,,25162,,53.9,,3580,99.1,3054,,5,,6639,,6344,,439,,0,,7908460,,58649920,,60161128,,16995132,,16636772,,25360228,,8170369,,11638334,,8070400,,390000,,390000,,390000,,390000,,27535,,2145404,,391505,,1716148,,99.69736385292595,,4214,,4431,,0.5756830601092896,,0.9510268562401264,41.0,439225,,153877,,23512,,15.279736412849223,,2603076,91.0,355.6114754098361,64.0,12085,,13341,,0.5657506671036,,0.905854133873023,41.0,1281695,,458590,,70846,,15.44865784251728,,10052862,98.4,470.6175740836103,81.0,84517,,57017,,0.9606060261641454,,1.482312292824947,71.0,5278995,,903696,,514950,,56.98265788495246,,41141520,99.9,467.6076060147983,88.0,9194,,6618,,0.6204197314258721,,1.389241462677546,69.0,889165,,121465,,24785,,20.405054954102006,,4643863,98.0,313.3722248464809,68.0,2326,,0,,9.455284552845528,,0.0,,14765,,0,,0,,0.0,,2145404,95.7,8721.154471544716,96.7,11,,0,,0.14473684210526316,,0.0,,4615,,0,,0,,0.0,,27535,78.0,362.30263157894734,92.0
3,origin/meinnameistelmo,origin,626.2215447423883,98.6,4.109772629243946,98.2,133395,99.3,32458,,15739276,99.3,33431,,139372,,5977,,2459466,,581348,,23.63716351435637,,59,,345,,13970,,22187,,36218,,15663,,344.0,,1.7681560913537373,97.8,208.62473655607545,,283334,,10095,,19686,,66438,,3990,,2049,,26181,,2804,,20927,,78.1,,3579,99.1,989,,12,,4580,,4528,,320,,0,,4526600,,47244032,,36727360,,22342740,,13853480,,11205392,,11239889,,7008078,,3509400,,390000,,390000,,390000,,390000,,1307,,1374452,,1145334,,220213,,99.91800312861321,,48995,,12426,,1.8128838895878043,,3.9429422179301463,99.0,1621575,,797435,,210289,,26.370675979860426,,16285409,99.2,602.5830311551839,98.3,32354,,8523,,1.9270951218059444,,3.7960811920685207,98.7,1007345,,742162,,159948,,21.55162888964943,,11384400,98.7,678.0868425754959,98.4,24789,,5502,,1.798911465892598,,4.5054525627044715,98.9,826830,,657978,,144574,,21.972467164555653,,8664859,99.1,628.7996371552975,97.9,25288,,5594,,1.5453434368125152,,4.520557740436182,99.0,981850,,203771,,57916,,28.422101280358834,,10200756,99.5,623.3656807626497,98.7,3640,,0,,2.4594594594594597,,0.0,,88815,,0,,0,,0.0,,1374452,93.0,928.6837837837838,68.0,3,,0,,1.0,,0.0,,185,,0,,0,,0.0,,1307,44.0,435.6666666666667,94.0
4,psn/tom_tenn,psn,307.9576858713842,47.0,1.2298317941952506,55.0,74577,98.0,60640,,8827453,97.9,18441,,77935,,3358,,2752436,,378954,,13.76794955450372,,25,,1877,,9259,,12033,,13593,,5651,,231.0,,0.7428579966531198,58.0,87.92984500757032,,219285,,36297,,31497,,20363,,3,,6072,,26242,,1624,,11213,,59.6,,3618,99.1,2447,,7,,6072,,5943,,345,,0,,6023520,,30916488,,41998460,,11503813,,9686577,,9747474,,4541910,,7270756,,6595000,,390000,,390000,,390000,,390000,,1006,,259575,,160020,,97283,,99.97848003332737,,20074,,17142,,0.7354460523905477,,1.1710418854276048,56.0,1637705,,709325,,108621,,15.313290804638214,,7569690,97.4,277.32881480124564,38.0,49440,,38113,,0.7691709320596792,,1.2971951827460446,66.0,3856675,,1950359,,252109,,12.926286904103296,,21407996,99.5,333.0584190301352,41.0,1830,,2027,,0.6312521559158331,,0.9028120374938332,36.0,173955,,53989,,9723,,18.009224101205803,,611573,79.0,210.95998620213868,17.0,2981,,2964,,0.5447733918128655,,1.0057354925775979,48.0,328365,,34608,,7684,,22.20295885344429,,1132544,89.0,206.97076023391813,31.0,378,,0,,0.8811188811188811,,0.0,,25755,,0,,0,,0.0,,259575,76.0,605.06993006993,50.0,0,,0,,0.0,,0.0,,1065,,0,,0,,0.0,,1006,40.0,59.1764705882353,34.0
5,xbl/olddocsatan,xbl,395.033068689803,75.0,1.6126612818630022,74.0,122988,99.2,76264,,14327256,99.2,24099,,127588,,4600,,3743517,,566641,,15.136594811777268,,63,,413,,11696,,15524,,17232,,6456,,451.0,,0.8671752711068492,70.0,101.01995402817536,,318866,,27338,,20856,,26162,,2251,,5372,,48688,,2747,,23732,,52.6,,3578,99.1,3206,,21,,6819,,6639,,463,,0,,8509605,,56025960,,64455288,,20490660,,11787724,,24015066,,7903758,,8116526,,7079200,,390000,,390000,,390000,,390000,,1223322,,9360621,,9152776,,203008,,99.68687125673257,,25911,,22307,,0.7164463861084996,,1.1615636347334917,56.0,2169970,,628482,,125796,,20.01584770924227,,13050984,98.8,360.86335231985845,66.0,63161,,41613,,1.0086071987480438,,1.5178189508086415,76.0,3757370,,1908173,,330350,,17.312371572179252,,29848876,99.8,476.65159209223594,82.0,5999,,4793,,0.8016838166510758,,1.2516169413728353,60.0,449035,,194661,,31253,,16.05509064476192,,2564480,94.0,342.70747026593614,58.0,2016,,2065,,0.4609053497942387,,0.976271186440678,45.0,262455,,27180,,6162,,22.671081677704194,,948996,87.0,216.96296296296296,34.0,23921,,0,,0.9833915724563207,,0.0,,1459525,,0,,0,,0.0,,9360621,99.4,384.8148406988695,17.0,3405,,0,,0.49679019550627374,,0.0,,411250,,0,,0,,0.0,,1223322,96.8,178.48292967610155,76.0
6,xbl/airbus scania19,xbl,413.54910724518095,80.0,2.0156337869755934,85.0,71684,97.9,35564,,8877126,97.9,18276,,74701,,3017,,1949064,,299272,,15.354652284378552,,68,,1017,,7223,,10266,,9508,,7875,,234.0,,0.8215177977950446,66.0,101.73423640239291,,633566,,25968,,17709,,65764,,2582,,3481,,32104,,1429,,19726,,85.3,,3581,99.1,600,,15,,4202,,4018,,411,,0,,5235490,,36085468,,53691024,,12670589,,13304846,,10176299,,6257611,,6431690,,13000800,,390000,,390000,,390000,,390000,,156315,,8963540,,8879167,,82093,,99.98188852111004,,9590,,7026,,0.702615576232691,,1.3649302590378594,67.0,818955,,259203,,54708,,21.106237196328745,,4715857,95.4,345.50934134368816,61.0,14638,,10442,,0.6307851417736792,,1.401838728212986,71.0,1392370,,485204,,65451,,13.489377663827998,,10800783,98.6,465.43062139101954,80.0,16660,,10092,,0.8348784765722876,,1.6508125247720966,78.0,1197345,,734499,,92204,,12.553318656662569,,7475439,98.8,374.61483337509395,68.0,8326,,5805,,0.590370843083032,,1.4342807924203274,71.0,846195,,156882,,26751,,17.05166940758022,,4575950,97.9,324.46642558320923,71.0,23177,,0,,1.5129577648671584,,0.0,,919145,,0,,0,,0.0,,8963540,99.4,585.1256609439258,48.0,392,,0,,0.3828125,,0.0,,61480,,0,,0,,0.0,,156315,88.0,152.6513671875,71.0
7,psn/o_______sec0-_-,psn,441.6424638966516,85.0,1.6609254066905275,76.0,128544,99.3,77393,,15387082,99.3,27869,,133759,,5215,,4216436,,671311,,15.921289923527832,,29,,1142,,13650,,18081,,21796,,8038,,245.0,,1.075520005354842,84.0,128.74280024766145,,267682,,16057,,18830,,28788,,69,,4499,,50347,,2322,,27224,,52.3,,3597,99.1,3272,,7,,6876,,6628,,399,,0,,7171120,,52784224,,52436952,,19957184,,10955421,,22096930,,7611533,,7650500,,5900400,,390000,,390000,,390000,,390000,,781,,151899,,42346,,106978,,99.97274040180167,,67674,,42189,,1.021540598064818,,1.6040674109365,78.0,3974825,,2147770,,359489,,16.737779184922037,,27756634,99.7,418.98703337509625,81.0,49698,,27123,,1.2048584173778123,,1.8323194336909634,85.0,2474880,,1792767,,258151,,14.399584552816957,,20224228,99.5,490.3080876648565,84.0,7222,,4745,,0.9990316779637571,,1.5220231822971548,73.0,433740,,216365,,40467,,18.703117417327203,,3019508,95.6,417.6937335731083,79.0,3821,,2852,,0.812805786002978,,1.3397615708274895,67.0,282065,,56527,,11694,,20.687459090346206,,1771173,93.0,376.7651563497128,83.0,77,,0,,1.0547945205479452,,0.0,,4435,,0,,0,,0.0,,151899,68.0,2080.8082191780823,84.0,0,,0,,0.0,,0.0,,1175,,0,,0,,0.0,,781,36.0,41.10526315789474,23.0
8,psn/ace_fubar68,psn,280.94108466640654,38.0,1.537834104823055,71.0,82391,98.3,53576,,10696169,98.5,19365,,85468,,3077,,6035239,,404524,,6.702700588990759,,41,,441,,6198,,8540,,12234,,11385,,697.0,,0.535771881909221,34.0,69.55500715307582,,120238,,9365,,8735,,40326,,34069,,5912,,31735,,1439,,25046,,47.2,,3584,99.1,3999,,12,,7596,,7258,,385,,0,,9226850,,43203120,,49096596,,18570612,,9112806,,15658077,,6045498,,6869462,,6993200,,390000,,390000,,390000,,390000,,3478216,,12518193,,12197776,,312260,,99.65563849491285,,19616,,16868,,0.540683572216097,,1.1629120227649987,56.0,2176840,,886800,,109655,,12.365245827695084,,10774027,98.4,296.96877067254684,45.0,8809,,8331,,0.5161120224982423,,1.0573760652982835,52.0,1024095,,472242,,52716,,11.162920705909258,,5497279,96.6,322.081028825873,38.0,18889,,14874,,0.5189000604362398,,1.2699341132176953,61.0,2184155,,1685568,,123304,,7.315278885218514,,11064309,99.4,303.9478325366738,45.0,6752,,5250,,0.424573979752248,,1.2860952380952382,64.0,954215,,164905,,21618,,13.109365998605258,,3633574,97.1,228.48355656165504,39.0,26400,,0,,0.8973182420719894,,0.0,,1765265,,0,,0,,0.0,,12518193,99.6,425.4849597226471,25.0,8045,,0,,0.4301218990590248,,0.0,,1122280,,0,,0,,0.0,,3478216,98.8,185.96107784431138,77.0
9,origin/johnwisimulacha,origin,414.15029988362727,80.0,2.840976423951596,95.0,136168,99.4,47930,,16118099,99.4,23326,,140514,,4346,,4665188,,572834,,12.2789049444524,,56,,856,,7705,,11117,,12824,,8800,,474.0,,1.0157849192850537,81.0,120.23766150449079,,194815,,11064,,7542,,27760,,4740,,5670,,25265,,2288,,19011,,52.5,,3577,99.1,3225,,5,,6817,,6692,,472,,0,,8043160,,55517676,,66890732,,31000950,,9144896,,15539217,,7462880,,4750103,,9367000,,390000,,390000,,390000,,390000,,10629423,,18714636,,18450568,,257867,,99.75688458885595,,15477,,9683,,0.9009255486349613,,1.5983682742951564,77.0,1030760,,381287,,73682,,19.324550797693078,,6838306,97.0,398.0619360847546,76.0,21225,,11660,,1.1632686616244656,,1.8203259005145798,85.0,1094760,,704892,,122773,,17.41727810785198,,9223147,98.2,505.4887098542146,87.0,12310,,7629,,0.9002486470674272,,1.6135797614366234,76.0,820470,,434074,,72171,,16.62642775195013,,5456331,98.0,399.02961825362,75.0,14340,,8628,,0.8607442977190877,,1.6620305980528511,79.0,999645,,180874,,43365,,23.97525349138074,,6194205,98.7,371.80102040816325,83.0,48002,,0,,1.1614604756950326,,0.0,,2479760,,0,,0,,0.0,,18714636,99.8,452.8209247743715,29.0,27896,,0,,1.0346413470810771,,0.0,,1617765,,0,,0,,0.0,,10629423,99.7,394.23718566871895,93.0
