,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,xbl/kamicolo141,xbl,297.836744420027,44.0,0.6957775297619048,19.0,14962,88.0,21504,,2066387,89.0,5054,,15678,,716,,729144,,85561,,11.734444773597534,,31,,1232,,1331,,1835,,2685,,2750,,337.0,,0.3961449866292462,18.0,54.71119171807567,,121086,,7777,,4069,,20423,,3884,,1956,,9436,,302,,7078,,45.9,,894,93.0,1042,,12,,1956,,1917,,207,,0,,2266170,,11248996,,18848656,,3411673,,3582494,,4254779,,1646222,,2308982,,5960000,,390000,,390000,,390000,,390000,,20483,,575164,,424879,,146428,,99.68218946255041,,3970,,6139,,0.424054689168981,,0.6466851278709888,19.0,561765,,124889,,21440,,17.16724451312766,,2625091,91.0,280.3985259559923,40.0,4823,,7097,,0.3946485557646674,,0.6795829223615613,25.0,733290,,277676,,31809,,11.455437272216539,,4051188,95.3,331.49398576221256,41.0,3643,,4856,,0.4282859158241242,,0.7502059308072487,26.0,510370,,238717,,23602,,9.887021033273708,,2520128,94.0,296.2765106983306,43.0,2367,,3092,,0.33436926119508403,,0.7655239327296248,31.0,424765,,54988,,7691,,13.986688004655562,,1886258,93.0,266.4582568159345,53.0,1051,,0,,5.177339901477833,,0.0,,12210,,0,,0,,0.0,,575164,86.0,2833.320197044335,88.0,18,,0,,0.045454545454545456,,0.0,,23770,,0,,0,,0.0,,20483,76.0,51.724747474747474,30.0
1,origin/haettschott,origin,217.92768524397988,18.0,1.4777705662826546,68.0,18215,90.0,12326,,2357562,90.0,4359,,18865,,648,,2099301,,85905,,4.092076362560681,,35,,61,,1079,,1512,,2048,,2247,,437.0,,0.44485419821227956,23.0,57.577345772480825,,0,,361,,858,,286,,933,,1829,,7401,,312,,4378,,46.1,,890,92.0,1033,,9,,1932,,1882,,165,,0,,2456770,,8923267,,13084825,,5023563,,1174079,,2725625,,1233758,,932583,,2927800,,390000,,823,,38774,,390000,,2231503,,3022516,,2989564,,32160,,99.57441546334874,,5167,,7109,,0.42467329662201037,,0.7268251512167675,25.0,730025,,177242,,31485,,17.763848297807517,,3101279,93.0,254.89266047505546,31.0,0,,7,,0.0,,0.0,,245,,61,,6,,9.836065573770492,,823,3.0,205.75,11.0,28,,64,,0.17177914110429449,,0.4375,8.0,9815,,4609,,222,,4.816663050553265,,38774,35.0,237.87730061349694,24.0,1125,,1298,,0.3048780487804878,,0.8667180277349769,38.0,221445,,14140,,3010,,21.287128712871286,,591103,81.0,160.19051490514906,15.0,7125,,0,,0.596433952787544,,0.0,,716775,,0,,0,,0.0,,3022516,97.1,253.01490038506614,2.0,4793,,0,,0.3694311700323724,,0.0,,778465,,0,,0,,0.0,,2231503,98.1,171.99807306921537,75.0
2,origin/the_world_2014,origin,558.4501331304679,97.0,4.181857339765679,98.2,48543,96.3,11608,,5357086,95.8,6053,,49606,,1062,,808526,,193576,,23.94183984188511,,115,,199,,3616,,5326,,3363,,2493,,549.0,,1.8464435146443514,98.1,203.7689615823507,,18987,,3266,,2618,,5391,,1219,,1632,,7631,,986,,3653,,54.5,,889,92.0,728,,14,,1632,,1551,,215,,0,,1577410,,14681654,,19901208,,8001538,,4330206,,2349910,,2203604,,1491512,,3018000,,390000,,390000,,390000,,390000,,1176953,,3801826,,3657934,,139083,,99.82422973227162,,9847,,3852,,1.5109713058155594,,2.5563343717549327,95.1,391055,,209937,,51604,,24.580707545597015,,2976173,92.0,456.6783796225257,88.0,3299,,1090,,1.6404773744405767,,3.026605504587156,97.3,120685,,49642,,17821,,35.89903710567665,,1229411,86.0,611.3431128791646,96.7,10335,,3264,,1.535204991087344,,3.166360294117647,97.1,403940,,228838,,54409,,23.77620849684056,,3290389,96.0,488.7684194890077,91.0,9169,,2012,,2.033488578398758,,4.557157057654075,99.0,270580,,60994,,23292,,38.18736269141227,,2704952,95.7,599.9006431581282,98.5,13521,,0,,3.1378510095149688,,0.0,,258580,,0,,0,,0.0,,3801826,97.8,882.298909259689,66.0,4262,,0,,1.929379809868719,,0.0,,132570,,0,,0,,0.0,,1176953,96.7,532.7990040742418,96.4
3,origin/guusjah,origin,475.91994046036893,90.0,2.4764998477311946,92.0,24396,92.0,9851,,2968793,92.0,6232,,25504,,1108,,725595,,131196,,18.081160978231658,,49,,57,,2349,,3502,,3105,,2483,,300.0,,1.2969007495614269,92.0,157.82217851257244,,14861,,1878,,2981,,3627,,862,,975,,6180,,449,,4766,,72.3,,891,92.0,328,,14,,1233,,1219,,159,,0,,1128710,,8952530,,12335390,,4485441,,2187502,,2279487,,2493806,,1379892,,2184000,,390000,,390000,,390000,,18191,,252613,,1667015,,1543541,,119896,,99.43885530028214,,15524,,7340,,1.288405676819653,,2.114986376021798,90.0,722975,,495092,,90589,,18.29740735055303,,5652746,96.2,469.14648518549257,89.0,1457,,725,,1.175948345439871,,2.009655172413793,89.0,74375,,55042,,9272,,16.845318120707823,,632359,77.0,510.3785310734463,88.0,2615,,1260,,1.3167170191339375,,2.0753968253968256,88.0,119160,,76309,,15791,,20.69349618000498,,971280,86.0,489.0634441087613,91.0,38,,23,,0.6551724137931034,,1.6521739130434783,79.0,3495,,437,,127,,29.061784897025174,,18191,25.0,313.63793103448273,68.0,4640,,0,,1.719155242682475,,0.0,,161995,,0,,0,,0.0,,1667015,94.0,617.6417191552426,51.0,758,,0,,0.974293059125964,,0.0,,46710,,0,,0,,0.0,,252613,90.0,324.69537275064266,90.0
4,origin/wdnmd_shasha,origin,331.4878445883441,56.0,1.4502024291497975,67.0,19701,90.0,13585,,2723896,91.0,6484,,20565,,864,,663434,,86504,,13.038825263703698,,25,,170,,1904,,3026,,5653,,5187,,558.0,,0.7289916743755782,57.0,100.79171137835338,,37343,,4593,,4374,,15284,,2992,,1464,,6436,,437,,4040,,60.7,,888,92.0,556,,20,,1464,,1440,,165,,0,,1621535,,8958459,,13060278,,4312202,,3042574,,1603683,,1688819,,1921978,,2413000,,390000,,390000,,390000,,390000,,6157,,122933,,102391,,19913,,99.38761486216539,,5916,,4769,,0.7687110187110187,,1.2405116376598868,60.0,461780,,206828,,28673,,13.863210010250063,,2519751,91.0,327.41047297297297,55.0,1707,,1564,,0.6562860438292965,,1.0914322250639386,54.0,156105,,93168,,9922,,10.649579254679718,,1063704,84.0,408.959630911188,65.0,3803,,2233,,0.8086327875823942,,1.703090013434841,80.0,282215,,210764,,23682,,11.23626425765311,,1735376,91.0,368.9934084626834,66.0,8121,,4902,,0.6894473215043722,,1.656670746634027,79.0,706745,,141230,,23384,,16.557388656800963,,3519540,97.0,298.79786059937175,64.0,234,,0,,1.0308370044052864,,0.0,,13640,,0,,0,,0.0,,122933,65.0,541.5550660792951,43.0,2,,0,,0.11764705882352941,,0.0,,1050,,0,,0,,0.0,,6157,65.0,362.1764705882353,92.0
5,origin/donthitme1998,origin,645.5840633974335,98.8,6.933893627696939,99.3,55277,96.9,7972,,6154560,96.5,6769,,56455,,1178,,1110582,,201163,,18.113295551341547,,202,,266,,3758,,5499,,31916,,3675,,1136.0,,2.0094151005125593,98.5,223.72896143080447,,37663,,2093,,1205,,10558,,2013,,1486,,6667,,1460,,1120,,61.1,,907,93.0,576,,2,,1486,,1415,,229,,0,,1650550,,17759372,,22212964,,12633919,,2914373,,2212845,,2569929,,791847,,1891000,,390000,,390000,,390000,,390000,,1648038,,1853181,,1815485,,36656,,99.35907855745037,,7942,,1896,,1.6869158878504673,,4.188818565400844,99.2,282515,,151265,,40890,,27.03202988133408,,2328913,90.0,494.6714103653356,92.0,5927,,1129,,2.1537063953488373,,5.2497785651018605,99.5,165160,,127586,,31341,,24.56460740206606,,1884553,90.0,684.7939680232558,98.5,10473,,1561,,2.320629293153113,,6.709160794362588,99.6,270800,,276966,,49407,,17.838651675656937,,2958642,95.4,655.5820961666298,98.3,19362,,2415,,2.0517113489456396,,8.017391304347827,99.8,566275,,123821,,36099,,29.154182246953265,,7562895,99.1,801.4088163611317,99.4,6443,,0,,2.7628644939965694,,0.0,,139945,,0,,0,,0.0,,1853181,95.0,794.6745283018868,63.0,6658,,0,,1.7688629117959618,,0.0,,225855,,0,,0,,0.0,,1648038,97.5,437.84218916046757,94.0
6,origin/inksanes,origin,560.9482257767972,97.1,5.233810587153553,98.9,39845,95.4,7613,,4409315,94.0,5760,,40925,,1080,,762210,,131547,,17.258629511551934,,58,,18,,1969,,2758,,2425,,1766,,320.0,,1.465159036587608,95.4,162.13697370840228,,18902,,1701,,1256,,4739,,614,,1394,,2859,,805,,1304,,63.6,,890,92.0,508,,2,,1403,,1328,,211,,0,,1631730,,15254987,,19247544,,7781719,,2592147,,4880821,,2081670,,525182,,1931200,,358698,,390000,,390000,,390000,,1440,,13065430,,13045410,,19568,,99.41271353864033,,921,,553,,0.9029411764705882,,1.6654611211573236,80.0,61205,,21009,,3768,,17.935170641153793,,358698,60.0,351.66470588235296,63.0,2037,,1473,,0.9271734182976786,,1.3828920570264767,70.0,131830,,64438,,9244,,14.345572488283311,,941575,83.0,428.57305416477016,71.0,2650,,1328,,1.4065817409766455,,1.9954819277108433,87.0,113070,,31624,,14127,,44.671768277257776,,792706,83.0,420.75690021231424,80.0,1440,,753,,0.8711433756805808,,1.9123505976095618,86.0,99205,,20394,,4273,,20.952240855153477,,539008,79.0,326.0786448880823,72.0,33519,,0,,1.640193775689959,,0.0,,1226200,,0,,0,,0.0,,13065430,99.7,639.3340183989039,53.0,1,,0,,0.3333333333333333,,0.0,,220,,0,,0,,0.0,,1440,46.0,480.0,95.7
7,xbl/comin4umate,xbl,376.6878625309768,70.0,2.13499205929063,88.0,40330,95.4,18890,,4819589,95.3,6172,,41588,,1256,,1605573,,213757,,13.313440123868551,,62,,392,,2552,,3367,,5181,,2239,,479.0,,1.0982816372103157,85.0,131.248849432205,,60649,,2982,,1943,,6534,,1085,,1688,,8652,,732,,2946,,53.0,,895,93.0,786,,7,,1688,,1599,,206,,0,,2203300,,13832355,,18794148,,7463514,,2292866,,4075975,,1710722,,970730,,3253000,,390000,,390000,,390000,,390000,,496378,,4356259,,4138735,,211877,,99.86926868150117,,8605,,5437,,1.0270947720219623,,1.5826742688982895,77.0,502685,,262446,,43414,,16.542069606700043,,3079044,92.0,367.51539746956314,68.0,12521,,6681,,1.2843368550620577,,1.8741206406226614,86.0,584960,,412933,,80249,,19.43390332087772,,4116089,95.4,422.20627756692994,69.0,4719,,2719,,1.062120189061445,,1.735564545788893,80.0,266615,,230582,,27108,,11.756338309148155,,1593889,91.0,358.7416160252082,63.0,1303,,918,,0.7407617964752701,,1.4193899782135075,71.0,105550,,18603,,3613,,19.421598666881685,,486951,77.0,276.833996588971,56.0,12382,,0,,1.3225806451612903,,0.0,,561740,,0,,0,,0.0,,4356259,98.1,465.3128604998932,32.0,1222,,0,,0.4034334763948498,,0.0,,181750,,0,,0,,0.0,,496378,93.0,163.87520633872566,73.0
8,origin/13007,origin,522.5816141714892,95.1,1.9939015742447879,85.0,28118,93.0,14102,,3436408,93.0,6351,,29239,,1121,,1040773,,175696,,16.881298803869814,,37,,729,,2659,,3775,,4143,,1455,,219.0,,1.2421257233732386,90.0,151.80492114679507,,116333,,6249,,4303,,7449,,52,,649,,9736,,401,,7515,,70.7,,891,92.0,363,,7,,1261,,1230,,147,,0,,1358275,,11829680,,11461114,,4509230,,3426045,,3894455,,2301865,,2244452,,1876200,,390000,,390000,,38485,,2818,,5160,,470450,,414060,,55276,,99.31641247833622,,12428,,7179,,1.1442776908203665,,1.7311603287365929,82.0,651675,,364194,,73957,,20.30703416311087,,5296108,96.0,487.6261854341221,92.0,14480,,6585,,1.3481053905595382,,2.1989369779802583,91.0,644485,,610002,,95249,,15.614538968724693,,5990219,96.9,557.6965831859231,93.0,200,,65,,1.492537313432836,,3.076923076923077,96.8,8040,,4280,,895,,20.911214953271028,,38485,35.0,287.2014925373134,40.0,8,,8,,0.8,,1.0,48.0,625,,137,,40,,29.1970802919708,,2818,8.0,281.8,58.0,954,,0,,1.347457627118644,,0.0,,42530,,0,,0,,0.0,,470450,83.0,664.4774011299435,55.0,9,,0,,0.04945054945054945,,0.0,,10920,,0,,0,,0.0,,5160,63.0,28.35164835164835,14.0
9,origin/emsvlonnuocngot,origin,531.4303499736404,95.7,2.908423079666215,95.3,40779,95.5,14021,,4555371,95.0,7330,,42351,,1572,,907749,,190477,,20.983443661188282,,82,,106,,3877,,5738,,7891,,2009,,419.0,,1.6537166957297538,97.2,184.73462021979805,,59615,,3231,,4969,,5758,,18,,1362,,8409,,802,,5283,,65.2,,888,92.0,472,,1,,1362,,1316,,191,,0,,1479580,,13104541,,17168810,,6246755,,2583186,,4274600,,1870918,,1674134,,2201000,,390000,,390000,,390000,,390000,,43776,,233382,,211209,,21614,,99.76790876734219,,18262,,6056,,1.6293718772305497,,3.0155217965653898,97.3,672530,,384718,,87737,,22.8055354831331,,5916032,96.4,527.8401142041399,95.4,17141,,5930,,1.8043157894736843,,2.8905564924114673,96.8,570010,,414577,,83022,,20.025712955615,,5459837,96.6,574.7196842105263,94.0,3564,,1252,,1.8361669242658423,,2.8466453674121404,95.9,116510,,50606,,15199,,30.033988064656363,,1048647,87.0,540.2612055641422,95.1,1159,,470,,0.9666388657214345,,2.4659574468085106,93.0,71980,,10158,,2177,,21.431384130734397,,411611,74.0,343.2952460383653,76.0,617,,0,,1.4725536992840096,,0.0,,25180,,0,,0,,0.0,,233382,75.0,556.9976133651551,45.0,124,,0,,0.31876606683804626,,0.0,,23370,,0,,0,,0.0,,43776,81.0,112.53470437017995,60.0
