,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile
0,origin/areeyoung,origin,541.6201233677801,96.3,2.402455380171258,91.0,23287,92.0,9693,,2733829,91.0,4361,,24140,,853,,533762,,111377,,20.866416118045123,,30,,305,,2109,,3408,,5920,,1849,,271.0,,1.8654970760233918,98.2,219.0041656653048,,43476,,3212,,2879,,3800,,856,,429,,3826,,462,,1973,,60.2,,259,80.0,171,,0,,437,,414,,123,,0,,749005,,6761044,,8064956,,3729220,,1707624,,1324200,,741907,,927781,,576800,,390000,,390000,,358845,,390000,,0,,76179,,64666,,11159,,98.59359413202934,,11973,,4715,,1.892366050260787,,2.539342523860021,95.0,379625,,278926,,57760,,20.70800140539068,,3274993,93.0,517.6217796744113,94.0,7099,,3096,,2.1090314913844326,,2.2929586563307494,93.0,202000,,179181,,40239,,22.457180169772464,,2073437,91.0,615.9943553178847,96.9,0,,0,,0.0,,0.0,,50,,0,,0,,0.0,,0,,0.0,,2978,,1391,,1.5155216284987278,,2.1409058231488136,90.0,117920,,24517,,5697,,23.236937635110333,,994631,87.0,506.1735368956743,96.6,1113,,451,,1.5,,2.467849223946785,93.0,44550,,45261,,6393,,14.124743156359779,,358845,69.0,483.6185983827493,90.0,225,,0,,2.7777777777777777,,0.0,,4860,,0,,0,,0.0,,76179,56.0,940.4814814814815,68.0
1,origin/nct_som1ove,origin,459.46194046807545,88.0,2.050527484730705,86.0,11079,85.0,5403,,1359708,85.0,2821,,11564,,485,,215617,,47214,,21.897160242466967,,35,,142,,1061,,1680,,3579,,1414,,286.0,,1.2586912065439673,91.0,154.47716428084527,,12405,,1190,,2990,,3750,,0,,501,,3134,,215,,2179,,51.7,,259,80.0,241,,1,,501,,483,,103,,0,,528130,,4044184,,5998002,,1942548,,1095277,,1006359,,607818,,728817,,1346000,,390000,,390000,,390000,,390000,,673,,32085,,6050,,25331,,99.601494520093,,2665,,1244,,1.3779731127197519,,2.142282958199357,90.0,116065,,55495,,12692,,22.87052887647536,,893191,79.0,461.83609100310235,88.0,2414,,1097,,1.5031133250311333,,2.200546946216955,92.0,96370,,66358,,12925,,19.47768166611411,,849378,81.0,528.8779576587796,90.0,0,,0,,0.0,,0.0,,670,,0,,0,,0.0,,673,34.0,61.18181818181818,36.0,3894,,1979,,1.0397863818424566,,1.9676604345629105,87.0,224755,,35221,,9654,,27.409783935720167,,1520031,91.0,405.8827770360481,88.0,2071,,1044,,1.3880697050938338,,1.9837164750957854,86.0,89520,,57704,,11751,,20.364272840704285,,748859,82.0,501.9162198391421,92.0,72,,0,,6.0,,0.0,,750,,0,,0,,0.0,,32085,39.0,2673.75,88.0
2,origin/douyutv_zkgod,origin,648.6616393442623,98.9,9.304693414080242,99.5,24583,92.0,2642,,2673334,91.0,3542,,25350,,767,,465608,,117635,,25.26481503754231,,62,,170,,2319,,3465,,4170,,805,,175.0,,3.224,99.4,350.60118032786886,,19308,,735,,2268,,2313,,0,,349,,2280,,583,,725,,74.9,,259,80.0,87,,0,,349,,275,,106,,0,,457515,,4946045,,6162314,,3457193,,666927,,821275,,422360,,350428,,800000,,390000,,390000,,202125,,36252,,0,,2569,,146,,2330,,99.55273021001616,,4758,,510,,2.901219512195122,,9.329411764705883,99.9,98420,,97906,,23277,,23.77484525973893,,1022244,81.0,623.319512195122,98.7,18796,,2002,,3.3492516037063433,,9.38861138861139,99.8,336720,,356266,,89587,,25.146098701532,,3681652,94.0,656.032074126871,98.0,0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0,,0.0,,110,,21,,1.5277777777777777,,5.238095238095238,99.3,4325,,1202,,352,,29.28452579034942,,36252,34.0,503.5,96.4,919,,92,,3.0633333333333335,,9.98913043478261,99.8,18045,,10229,,4418,,43.1909277544237,,202125,59.0,673.75,98.5,2,,0,,2.0,,0.0,,5,,0,,0,,0.0,,2569,4.0,2569.0,87.0
3,xbl/beast modefd,xbl,349.5501838030522,62.0,1.3570920725204407,62.0,7635,80.0,5626,,912897,80.0,1544,,7903,,268,,361229,,32754,,9.067378311265154,,42,,65,,583,,863,,1765,,937,,328.0,,0.8505068508410382,69.0,101.69288180906761,,5328,,482,,661,,1965,,402,,213,,2781,,163,,1025,,46.4,,259,80.0,296,,3,,558,,538,,76,,0,,538650,,3137912,,3404746,,1412676,,694126,,1031110,,450145,,345377,,500000,,283431,,307212,,390000,,390000,,86820,,581372,,519013,,60972,,97.4176251788269,,654,,594,,0.7985347985347986,,1.101010101010101,52.0,49195,,19814,,2716,,13.707479559907137,,283431,55.0,346.0695970695971,61.0,687,,584,,0.8378048780487805,,1.1763698630136987,60.0,49220,,26197,,3582,,13.673321372676261,,307212,63.0,374.64878048780486,55.0,226,,0,,0.31608391608391606,,0.0,,42915,,0,,0,,0.0,,86820,85.0,121.42657342657343,63.0,1409,,1188,,0.8037649743297205,,1.186026936026936,59.0,105200,,17431,,3186,,18.277780964947507,,622694,81.0,355.2162007986309,79.0,3393,,2654,,0.9849056603773585,,1.2784476262245668,61.0,206755,,157512,,17731,,11.256920107674336,,1342355,89.0,389.6531204644412,72.0,1450,,0,,1.0196905766526019,,0.0,,85365,,0,,0,,0.0,,581372,86.0,408.8410689170183,22.0
4,origin/fartsimpson73,origin,422.6580489763147,82.0,2.0898043864848845,87.0,14102,87.0,6748,,1698014,87.0,3086,,14656,,554,,267870,,68999,,25.758390263934,,32,,118,,1402,,2176,,3068,,1348,,276.0,,1.1322360497792052,87.0,136.331914893617,,31354,,1821,,2011,,5405,,369,,522,,4377,,237,,2103,,53.3,,278,81.0,244,,0,,522,,506,,110,,0,,747355,,5264206,,6476885,,2315644,,1309012,,1639550,,713679,,755155,,499000,,390000,,390000,,390000,,390000,,144,,85126,,59815,,24729,,99.27782035561006,,6379,,3139,,1.1413490785471463,,2.0321758521822235,89.0,335355,,121047,,31221,,25.79246077969714,,2232951,90.0,399.5260332796565,76.0,3489,,1519,,1.2389914772727273,,2.2969058591178406,93.0,169000,,77034,,17991,,23.35462263416154,,1286237,86.0,456.76029829545456,78.0,0,,0,,0.0,,0.0,,40,,0,,0,,0.0,,144,14.0,144.0,69.0,1441,,640,,0.9606666666666667,,2.2515625,91.0,90015,,12832,,3457,,26.940461346633416,,618223,81.0,412.14866666666666,89.0,2776,,1398,,1.1007137192704204,,1.9856938483547926,86.0,151370,,56830,,15956,,28.07672004223122,,1095371,87.0,434.32632831086437,82.0,154,,0,,5.923076923076923,,0.0,,1575,,0,,0,,0.0,,85126,58.0,3274.076923076923,90.0
5,origin/szhhbcom,origin,189.03031409788167,11.0,0.8893634610085422,32.0,6455,78.0,7258,,870659,79.0,2158,,6723,,268,,299980,,28666,,9.555970398026535,,22,,64,,693,,1066,,1947,,1511,,481.0,,0.47151205259313367,26.0,63.5981738495252,,752,,550,,2200,,1798,,237,,532,,3544,,122,,871,,53.2,,266,80.0,234,,0,,532,,507,,83,,0,,821400,,2587825,,4193650,,1437594,,662931,,487300,,337818,,423510,,1304000,,390000,,36866,,336849,,390000,,1668,,247228,,219325,,27082,,99.14066193853428,,3105,,3903,,0.4634328358208955,,0.7955418908531898,30.0,402040,,177502,,16486,,9.287782672871291,,1249584,84.0,186.50507462686568,13.0,62,,103,,0.35428571428571426,,0.6019417475728155,20.0,10500,,3039,,311,,10.233629483382693,,36866,27.0,210.66285714285715,11.0,0,,0,,0.0,,0.0,,415,,0,,0,,0.0,,1668,48.0,278.0,87.0,2166,,2176,,0.43555198069575707,,0.9954044117647058,46.0,298435,,56586,,5524,,9.762131976107165,,895761,86.0,180.1248743213352,21.0,941,,981,,0.5989815404201145,,0.9592252803261978,40.0,94310,,58169,,5753,,9.890147673159243,,336849,68.0,214.4169318905156,18.0,556,,0,,2.1302681992337167,,0.0,,15700,,0,,0,,0.0,,247228,75.0,947.2337164750958,68.0
6,origin/mwexx,origin,239.49341431788713,24.0,0.9552709159296533,37.0,9397,83.0,9837,,1284450,84.0,2666,,9820,,423,,449002,,37999,,8.46299125616367,,35,,115,,730,,1132,,1064,,1419,,709.0,,0.6413021224322665,47.0,87.65781751177234,,8571,,580,,1446,,2268,,390,,548,,3185,,119,,1644,,47.3,,259,80.0,289,,0,,548,,529,,98,,0,,879210,,3509297,,5729596,,2140615,,801632,,567050,,618299,,543276,,1602000,,390000,,304859,,390000,,327075,,581477,,779707,,762237,,17002,,98.70105081826011,,2506,,4158,,0.5672249886826618,,0.6026936026936027,17.0,265085,,85979,,11409,,13.269519301224717,,983307,80.0,222.56835672249886,22.0,741,,1116,,0.7010406811731315,,0.6639784946236559,24.0,63450,,39723,,3504,,8.8210860206933,,304859,63.0,288.4191106906339,28.0,1826,,0,,0.7017678708685626,,0.0,,156130,,0,,0,,0.0,,581477,94.0,223.47309761721752,82.0,823,,1276,,0.42183495643259866,,0.6449843260188087,23.0,117075,,20411,,2169,,10.626622899416981,,327075,71.0,167.6447975397232,18.0,1305,,1672,,0.6176053005205868,,0.7805023923444976,28.0,126825,,82541,,7236,,8.766552380029319,,559455,77.0,264.7681022243256,32.0,2282,,0,,0.9091633466135458,,0.0,,150645,,0,,0,,0.0,,779707,88.0,310.6402390438247,7.0
7,psn/mosiii19,psn,307.9090840500981,47.0,0.9413888299001911,36.0,8866,82.0,9418,,1107703,82.0,2260,,9271,,405,,304055,,44342,,14.58354574007992,,17,,197,,977,,1288,,1491,,894,,259.0,,0.6689301342990795,50.0,83.57499622755395,,12493,,1731,,2280,,2453,,49,,721,,3545,,175,,1504,,41.7,,301,82.0,411,,9,,721,,663,,103,,0,,795255,,4081027,,5998156,,1500401,,944756,,1635870,,534129,,589617,,1383000,,390000,,390000,,390000,,390000,,37504,,239435,,204684,,33907,,99.60405181002989,,4991,,5296,,0.7353764549874761,,0.9424093655589124,40.0,407250,,192136,,28297,,14.727588791272847,,2258365,90.0,332.7486371003389,57.0,745,,1086,,0.49899531145344944,,0.6860036832412523,26.0,89595,,30214,,4338,,14.357582577613027,,521883,73.0,349.55324849296716,47.0,105,,0,,0.3736654804270463,,0.0,,16895,,0,,0,,0.0,,37504,80.0,133.46619217081852,66.0,1545,,1451,,0.5944594074644094,,1.0647829083390765,52.0,155970,,15674,,3573,,22.795712645144825,,582200,80.0,224.00923432089266,37.0,1016,,1229,,0.6397984886649875,,0.8266883645240033,31.0,95325,,44079,,6056,,13.738968669888155,,485176,75.0,305.52644836272043,46.0,536,,0,,1.065606361829026,,0.0,,30220,,0,,0,,0.0,,239435,75.0,476.013916500994,33.0
8,origin/siguabi,origin,214.69292572996278,17.0,1.7177228786251342,78.0,7996,81.0,4655,,1252101,84.0,2496,,8270,,274,,416748,,38808,,9.312102277635406,,44,,9,,658,,1135,,3103,,2767,,728.0,,0.5223071395910902,32.0,81.78855575151871,,8371,,573,,641,,3217,,372,,495,,4087,,142,,1340,,52.3,,259,80.0,236,,0,,495,,484,,93,,0,,918560,,3286734,,5182102,,2163638,,736146,,386950,,432368,,508082,,1463000,,390000,,303599,,390000,,390000,,1143,,37013,,30760,,6040,,98.14587121212122,,1434,,1191,,0.4764119601328904,,1.2040302267002518,58.0,180620,,67926,,8209,,12.08521037599741,,535728,69.0,177.9827242524917,11.0,687,,760,,0.5085122131754256,,0.9039473684210526,41.0,81065,,42857,,3904,,9.109363697878994,,303599,63.0,224.72168763878608,14.0,0,,0,,0.0,,0.0,,250,,0,,0,,0.0,,1143,42.0,285.75,88.0,3645,,1599,,0.4911075181891673,,2.279549718574109,91.0,445320,,53926,,8857,,16.424359307198756,,1594355,92.0,214.81473996227433,34.0,2225,,1079,,0.634626354820308,,2.0620945319740502,88.0,210400,,251615,,17826,,7.084633269081732,,841802,84.0,240.1032515687393,25.0,83,,0,,5.533333333333333,,0.0,,905,,0,,0,,0.0,,37013,42.0,2467.5333333333333,87.0
9,psn/doge_123-,psn,230.40040292117854,21.0,1.6124721603563474,74.0,7964,81.0,4939,,930398,80.0,1829,,8242,,278,,786721,,28292,,3.596192296887969,,38,,51,,416,,462,,419,,974,,482.0,,0.5013850415512465,30.0,58.57454041803072,,2582,,617,,688,,868,,985,,878,,1286,,99,,1212,,41.8,,367,85.0,511,,0,,878,,852,,91,,0,,953045,,3659680,,4996659,,2426923,,561307,,671450,,513979,,360956,,823000,,390000,,94740,,146491,,220186,,2378146,,149619,,136167,,13143,,98.55343195266272,,1134,,1864,,0.37290365011509374,,0.6083690987124464,17.0,182510,,59425,,6497,,10.933108960875053,,706447,74.0,232.30746464978625,24.0,98,,211,,0.28994082840236685,,0.46445497630331756,11.0,20325,,7929,,624,,7.869844873250094,,94740,42.0,280.29585798816566,26.0,5995,,0,,0.5713877239801753,,0.0,,629545,,0,,0,,0.0,,2378146,98.2,226.6627906976744,82.0,319,,439,,0.32852729145211124,,0.7266514806378133,28.0,58280,,5408,,863,,15.95784023668639,,220186,64.0,226.7621009268795,38.0,203,,284,,0.3248,,0.7147887323943662,24.0,37510,,18579,,1414,,7.610743312341891,,146491,54.0,234.3856,23.0,313,,0,,0.7560386473429952,,0.0,,24875,,0,,0,,0.0,,149619,68.0,361.3985507246377,14.0
