,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile
0,xbl/sgtroger027,xbl,329.1954175513093,55.0,1.380245094237183,64.0,71182,97.8,51572,,9501143,98.1,20955,,74563,,3381,,2853918,,413057,,14.473331048754728,,28,,288,,8370,,11849,,15472,,14628,,244.0,,0.787132873319179,63.0,105.06394860226469,,58614,,8463,,12852,,61687,,9141,,4169,,36032,,1340,,17782,,48.2,,2160,97.5,2306,,18,,4485,,4389,,335,,0,,5425955,,29769800,,39857272,,12911628,,9818820,,7050851,,4050065,,6445026,,6081200,,390000,,390000,,390000,,390000,,1474,,601788,,479303,,118898,,99.87413894631335,,14034,,11674,,0.7550438478506483,,1.2021586431385987,58.0,1115270,,452409,,76635,,16.939318183325266,,5717804,96.3,307.62382310216816,49.0,2401,,2928,,0.5140226932134446,,0.8200136612021858,35.0,280315,,122287,,14775,,12.082232780262824,,1500502,88.0,321.2378505673303,38.0,1,,0,,0.025,,0.0,,2445,,0,,0,,0.0,,1474,46.0,36.85,20.0,8230,,5454,,0.7229444834855938,,1.508984231756509,74.0,683080,,87534,,23012,,26.289213334247265,,2920456,96.1,256.54040758959945,49.0,46083,,31193,,0.8335081753725944,,1.4773506876542815,71.0,3317330,,2171058,,296484,,13.65619895921712,,19298536,99.8,349.0546954131095,60.0,1112,,0,,2.427947598253275,,0.0,,27515,,0,,0,,0.0,,601788,86.0,1313.9475982532751,76.0
1,psn/lapiopaa_fin,psn,285.97134132549195,40.0,1.7580732917266764,79.0,54931,96.9,31245,,7692409,97.4,13028,,57729,,2798,,1947271,,296084,,15.205074178170372,,41,,1143,,4564,,6447,,12852,,4411,,448.0,,0.6212508482243836,44.0,86.99851843474327,,55861,,9272,,8962,,7220,,554,,2928,,15689,,1433,,7640,,61.9,,2166,97.6,1326,,6,,3498,,3394,,286,,0,,5305245,,25285586,,31311312,,11631041,,4290262,,9379161,,5045177,,3485401,,3540800,,390000,,390000,,390000,,390000,,153520,,1560557,,1479504,,79287,,99.46414231257941,,23956,,14212,,0.5976151274759267,,1.6856177877849705,80.0,2405165,,694795,,133895,,19.271151922509517,,10663802,98.4,266.0231003342813,35.0,14085,,8281,,0.7863443501563198,,1.7008815360463712,82.0,1074755,,559475,,80191,,14.333258858751508,,5785009,96.8,322.9683452434122,38.0,362,,0,,0.25,,0.0,,86885,,0,,0,,0.0,,153520,88.0,106.02209944751381,58.0,7946,,4501,,0.5154385054488843,,1.7653854698955787,82.0,925005,,141509,,32551,,23.002777208516772,,3873894,97.3,251.29047742605087,47.0,4930,,3006,,0.4800856948096212,,1.6400532268795742,77.0,616140,,208937,,34439,,16.48295897806516,,2312225,94.0,225.16554679131366,21.0,3539,,0,,1.076338199513382,,0.0,,197295,,0,,0,,0.0,,1560557,94.0,474.62195863746956,33.0
2,xbl/riles1542,xbl,441.91258021552244,85.0,1.7523851033948374,79.0,72370,97.9,41298,,8675670,97.9,13857,,74462,,2092,,1543948,,296299,,19.19099606981582,,64,,1648,,5404,,7446,,12586,,4772,,558.0,,1.0953202566896718,85.0,131.30630221576462,,122752,,7796,,6362,,11538,,3048,,2964,,21701,,1627,,18345,,69.2,,2186,97.6,970,,5,,3161,,3121,,331,,0,,3964325,,29198048,,38981048,,12159884,,9166183,,7909150,,4606902,,5047146,,5226600,,390000,,390000,,390000,,390000,,5655,,3853762,,3706179,,144025,,99.77871120496576,,10190,,7376,,1.0835814547001277,,1.3815075921908895,68.0,564250,,250141,,51780,,20.700325016690588,,4054370,94.0,431.13249680986814,83.0,17432,,10343,,1.3581612777561356,,1.685391085758484,81.0,770120,,498966,,103649,,20.77275806367568,,6566839,97.2,511.63529411764705,88.0,6,,0,,0.06818181818181818,,0.0,,5310,,0,,0,,0.0,,5655,64.0,64.26136363636364,38.0,29417,,17105,,0.9826630144307856,,1.7197895352236188,81.0,1796165,,283904,,74617,,26.282475766456265,,12401948,99.6,414.28206841261357,89.0,7148,,5543,,0.9231563993284256,,1.2895543929280173,62.0,464635,,233497,,39523,,16.926555801573468,,3037072,95.6,392.2345344181842,73.0,10138,,0,,1.6718337730870712,,0.0,,363845,,0,,0,,0.0,,3853762,97.8,635.5148416886543,53.0
3,psn/wilde__ente__,psn,481.27356593353977,91.0,1.8914545039388058,83.0,66269,97.6,35036,,8040637,97.6,14138,,68730,,2461,,1581497,,286389,,18.10872862863477,,47,,2288,,5943,,7918,,16188,,4424,,347.0,,1.0576978325406199,83.0,128.33397708047372,,129951,,12241,,14138,,18141,,5,,2679,,20259,,1440,,17830,,62.1,,2165,97.6,1288,,33,,3492,,3341,,313,,0,,3759250,,30153714,,35377020,,11196055,,7785966,,11203940,,4638227,,5285623,,4821200,,390000,,390000,,390000,,390000,,6097,,140560,,53849,,84681,,99.99016407343028,,17235,,10066,,1.0083074942959107,,1.7121994834094973,81.0,1025615,,421938,,87247,,20.67768250311657,,7688847,97.4,449.8243140466858,86.0,25292,,12284,,1.1489574342434017,,2.058938456528818,90.0,1320795,,823726,,119843,,14.548891257529808,,11223864,98.6,509.87434697678646,87.0,3,,0,,0.07692307692307693,,0.0,,2385,,0,,0,,0.0,,6097,65.0,156.33333333333334,71.0,17573,,9197,,0.9702942962840263,,1.910731760356638,86.0,1086675,,229559,,49514,,21.56918265021193,,8603709,99.3,475.0543316216664,95.1,6038,,3230,,1.1260723610593062,,1.8693498452012385,84.0,321740,,103398,,29068,,28.11272945318091,,2487519,94.0,463.91626258858633,87.0,179,,0,,5.264705882352941,,0.0,,2040,,0,,0,,0.0,,140560,67.0,4134.117647058823,92.0
4,psn/avenger7-ronaldo,psn,555.3526842803716,96.9,3.8796591653921784,97.9,88786,98.5,22885,,9809001,98.2,12830,,91735,,2947,,1686332,,389700,,23.109328412198785,,69,,2275,,6864,,9522,,23643,,3614,,309.0,,2.142260827602847,98.8,236.67513572204126,,144056,,7764,,9959,,15449,,113,,2978,,13576,,1910,,6874,,73.0,,2159,97.5,786,,13,,2978,,2891,,281,,0,,2486755,,23016592,,30458076,,13064999,,4344955,,5598483,,3928182,,2789153,,3543000,,390000,,390000,,390000,,390000,,11329,,200287,,177008,,22637,,99.80527893831407,,21216,,5550,,2.174884674525884,,3.8227027027027027,98.8,585305,,397941,,97394,,24.47448239814445,,5439024,96.1,557.5626858021527,97.0,52617,,13228,,2.263486191172675,,3.9776988206833988,98.9,1394810,,1063708,,235528,,22.1421668352593,,13232711,99.0,569.2467951475522,94.0,18,,0,,0.15517241379310345,,0.0,,7015,,0,,0,,0.0,,11329,71.0,97.66379310344827,54.0,5933,,1816,,1.5185564371640645,,3.267070484581498,97.4,234475,,51839,,13953,,26.916028472771465,,1888330,93.0,483.31968262093676,95.5,8417,,2111,,2.067550970277573,,3.9872098531501656,98.5,244300,,152002,,40762,,26.816752411152482,,2260364,93.0,555.2355686563498,95.9,642,,0,,1.8501440922190202,,0.0,,20850,,0,,0,,0.0,,200287,72.0,577.1959654178675,47.0
5,psn/amapotatis,psn,587.9452469946459,97.9,4.989775177086542,98.8,81009,98.2,16235,,9386703,98.1,15034,,83844,,2835,,1860131,,354409,,19.052905413650976,,75,,1856,,6548,,9286,,16741,,5758,,597.0,,1.36392564905546,93.0,158.04126679462573,,143137,,12055,,8105,,31218,,2769,,3203,,17412,,1699,,19111,,67.5,,2159,97.5,1026,,14,,3203,,3087,,370,,0,,3563655,,34920420,,45658020,,14312281,,8270318,,12387925,,5362568,,5152937,,5441000,,390000,,390000,,390000,,390000,,1865729,,1460038,,1137810,,316766,,99.57314287272034,,29923,,5772,,1.5601960477605714,,5.184164934164934,99.6,1150785,,509095,,133386,,26.200610887948223,,12100094,98.7,630.9032796287606,98.8,19354,,4382,,1.3806534455699815,,4.416704701049749,99.2,841080,,422818,,92538,,21.88601242142009,,8530344,98.0,608.5278927093736,96.6,4801,,0,,0.9663848631239935,,0.0,,298120,,0,,0,,0.0,,1865729,97.8,375.5493156199678,93.0,12015,,2587,,1.12163928304705,,4.644375724777735,99.1,642725,,104688,,28905,,27.610614397065564,,6065312,98.7,566.2165795369679,98.1,12588,,2692,,1.4097883301601524,,4.676077265973254,99.0,535790,,328231,,70280,,21.41174965192197,,5421368,98.0,607.164072124538,97.5,2989,,0,,1.8858044164037855,,0.0,,95155,,0,,0,,0.0,,1460038,93.0,921.159621451104,68.0
6,origin/hardrockgrunge,origin,431.0125207094163,83.0,2.4050868316696294,91.0,87942,98.5,36565,,10941105,98.6,21127,,91850,,3908,,2221073,,456180,,20.538721599875377,,50,,162,,9089,,13762,,17110,,8821,,254.0,,1.1942475352399575,89.0,148.57960563839322,,132463,,7150,,10729,,42779,,70,,2339,,30878,,1420,,12752,,54.5,,2159,97.5,1800,,2,,3964,,3825,,270,,0,,4418310,,31738900,,28252792,,14256015,,6495412,,11006374,,4268921,,4090214,,3832400,,390000,,390000,,390000,,390000,,140,,59811,,38824,,20298,,99.48166197183099,,51626,,20957,,1.2312425471023134,,2.463425108555614,94.0,2515835,,1172633,,253701,,21.63515780299548,,17662714,99.3,421.24288099212976,81.0,14746,,6443,,1.180435478706372,,2.2886853950023283,92.0,749575,,472999,,82087,,17.354582144993962,,5738820,96.8,459.3996157540826,78.0,0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,140,13.0,140.0,68.0,3559,,1654,,0.8251796893113842,,2.1517533252720678,90.0,258795,,41886,,10646,,25.41660698085279,,1711505,92.0,396.8247159749594,87.0,17998,,7229,,1.2079194630872483,,2.489694286899986,93.0,894050,,533252,,109603,,20.553696938783165,,6520073,98.5,437.58879194630873,83.0,76,,0,,76.0,,0.0,,55,,0,,0,,0.0,,59811,51.0,59811.0,99.8
7,origin/95tommygun95,origin,505.3748173491571,93.0,2.1102618311920636,87.0,51904,96.6,24596,,6229351,96.5,13320,,54024,,2119,,904421,,199919,,22.104639321731803,,72,,952,,4581,,7074,,13362,,5622,,634.0,,0.924908229088706,75.0,111.00450835738978,,45153,,8274,,10529,,12791,,4688,,3012,,14578,,1247,,13959,,71.8,,2159,97.5,849,,1,,3012,,2939,,326,,0,,3367105,,28360624,,37849008,,10301259,,6108465,,11961475,,4329225,,4191862,,5190000,,390000,,390000,,390000,,390000,,2376,,3454568,,2955362,,489154,,99.55680410337344,,22428,,10229,,1.014061581588823,,2.1925896959624596,91.0,1327025,,409050,,89872,,21.970908201931305,,11903696,98.6,538.2147669213726,96.1,2684,,1677,,0.7831922964692151,,1.6004770423375074,79.0,205665,,82252,,21968,,26.70816515099937,,1887218,90.0,550.6909833673767,92.0,2,,0,,0.1,,0.0,,1225,,0,,0,,0.0,,2376,53.0,118.8,62.0,15108,,8605,,0.7723136693589613,,1.7557234166182452,82.0,1173770,,155564,,37229,,23.93162942583117,,8870676,99.3,453.46467641345464,93.0,6552,,3385,,0.9760166840458812,,1.9355982274741506,85.0,402800,,160759,,34116,,21.221828948923545,,3468843,96.3,516.7351407716371,93.0,7351,,0,,1.718728080430208,,0.0,,256620,,0,,0,,0.0,,3454568,97.5,807.7082066869301,63.0
8,origin/rygar_1989,origin,472.75603807725594,90.0,2.2196746243893446,89.0,96325,98.7,43396,,11149619,98.6,17111,,99717,,3392,,1879822,,424124,,22.56192341615323,,34,,1198,,7643,,11453,,23896,,6384,,408.0,,1.2630136627068418,91.0,146.19383473631763,,65615,,7271,,11299,,17577,,2065,,2274,,25554,,1654,,14735,,61.5,,2161,97.6,1350,,2,,3520,,3431,,297,,0,,4576000,,36055212,,33527720,,16591256,,6674178,,12827763,,5411341,,4340855,,4160200,,390000,,390000,,390000,,390000,,78725,,2048552,,1927410,,118123,,99.79230597514696,,58021,,25312,,1.3235019046967311,,2.2922329329962072,92.0,2630355,,972607,,256211,,26.342705738288952,,21292258,99.5,485.69214626246037,91.0,9346,,4313,,1.3262381155101461,,2.1669371667053094,91.0,422835,,216053,,51346,,23.765464955358176,,3613661,94.0,512.7942386831276,88.0,130,,0,,0.17473118279569894,,0.0,,44660,,0,,0,,0.0,,78725,84.0,105.81317204301075,58.0,12674,,6485,,1.106513008555963,,1.954356206630686,87.0,687250,,98153,,28606,,29.14429513107088,,4856786,98.1,424.0253186659682,90.0,12284,,5838,,1.3170365605232122,,2.1041452552243918,89.0,559620,,279596,,67887,,24.280390277400247,,4572798,97.4,490.27532968800256,91.0,4731,,0,,1.22755578619616,,0.0,,231280,,0,,0,,0.0,,2048552,95.5,531.5391800726518,42.0
9,xbl/creekit,xbl,285.27767717010744,39.0,1.6956521739130435,77.0,64623,97.5,38111,,8016501,97.6,12894,,66739,,2116,,3568999,,262218,,7.347102086607478,,80,,277,,5043,,7217,,9339,,7048,,598.0,,0.6501569479657129,48.0,80.65214897983822,,55031,,4715,,5118,,23236,,2352,,3527,,32702,,1018,,16040,,48.7,,2161,97.6,2268,,4,,4439,,4323,,295,,0,,5963760,,28355460,,33118604,,12815053,,6539797,,9013697,,3716710,,4207795,,5138400,,390000,,390000,,390000,,390000,,2458264,,7496644,,7390505,,103495,,99.71728716597667,,8673,,9437,,0.5126492493202506,,0.9190420684539579,39.0,1015095,,290271,,47427,,16.33886953915479,,4651693,95.4,274.95525475824564,38.0,4110,,4991,,0.5050380928975178,,0.8234822680825485,35.0,488285,,176975,,20656,,11.671705043085181,,2661108,92.0,326.9977881543377,39.0,6355,,0,,0.5342580916351408,,0.0,,713740,,0,,0,,0.0,,2458264,98.3,206.66364018495167,80.0,9055,,5613,,0.5459752788664456,,1.6132193123107073,78.0,995125,,88644,,19858,,22.40196742024277,,3598044,97.0,216.94567380162798,34.0,15814,,13583,,0.6572188513008063,,1.1642494294338512,54.0,1443765,,816150,,90538,,11.093303926974208,,7685853,98.9,319.4187099991688,51.0,21178,,0,,0.9716907547602661,,0.0,,1307750,,0,,0,,0.0,,7496644,99.2,343.96164257857305,11.0
