,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,xbl/jamonedodey,xbl,368.57305603391177,68.0,0.8517389745428469,30.0,4751,73.0,5578,,564172,72.0,1143,,4952,,201,,169208,,33418,,19.749657226608672,,16,,39,,517,,678,,903,,292,,156.0,,0.6293548814412505,45.0,74.7346668432905,,42248,,2900,,1133,,1152,,143,,364,,2005,,107,,1015,,65.9,,236,78.0,115,,7,,364,,350,,84,,0,,452985,,2782358,,4235825,,741030,,773206,,1268072,,429467,,427856,,1024000,,197993,,390000,,82513,,74600,,4372,,38099,,24989,,12781,,97.71222606689734,,362,,456,,0.5782747603833865,,0.793859649122807,29.0,37595,,13014,,1734,,13.324112494236976,,197993,48.0,316.28274760383385,52.0,4112,,4654,,0.6520773866159213,,0.883541039965621,40.0,378360,,146244,,29269,,20.013812532479967,,2405915,92.0,381.5279099270536,57.0,132,,202,,0.4981132075471698,,0.6534653465346535,20.0,15955,,4302,,1050,,24.407252440725244,,82513,45.0,311.3698113207547,48.0,131,,188,,0.48518518518518516,,0.6968085106382979,26.0,16205,,1974,,446,,22.593718338399192,,74600,45.0,276.2962962962963,56.0,34,,0,,1.096774193548387,,0.0,,1865,,0,,0,,0.0,,38099,42.0,1229.0,75.0,2,,0,,0.04,,0.0,,3005,,0,,0,,0.0,,4372,61.0,87.44,50.0
1,xbl/uracuuk,xbl,416.9165485112417,80.0,1.764086273198462,79.0,10551,84.0,5981,,1287238,84.0,2210,,10983,,432,,333111,,55034,,16.52121965350889,,20,,54,,1055,,1390,,1764,,481,,114.0,,1.0685639052055904,84.0,130.36641685233948,,10633,,1874,,1527,,909,,41,,526,,3328,,225,,1557,,48.7,,256,80.0,270,,0,,526,,518,,98,,0,,592490,,4116634,,5797604,,1726697,,856687,,1533250,,532970,,588651,,1148000,,390000,,390000,,3139,,453,,3885,,68243,,19592,,47121,,99.8725925925926,,7307,,4042,,1.061138541969213,,1.8077684314695694,84.0,413190,,213857,,37971,,17.755322481845344,,2791331,92.0,405.36320069706653,78.0,3157,,1878,,1.0905008635578584,,1.6810436634717785,81.0,173720,,117332,,16761,,14.285105512562643,,1278642,86.0,441.6725388601036,74.0,6,,11,,0.6666666666666666,,0.5454545454545454,14.0,575,,108,,46,,42.592592592592595,,3139,10.0,348.77777777777777,60.0,2,,1,,2.0,,2.0,88.0,80,,9,,5,,55.55555555555556,,453,2.0,453.0,93.0,177,,0,,4.214285714285714,,0.0,,2540,,0,,0,,0.0,,68243,54.0,1624.8333333333333,80.0,8,,0,,0.20512820512820512,,0.0,,2385,,0,,0,,0.0,,3885,59.0,99.61538461538461,55.0
2,xbl/diablodragon22,xbl,378.1614620661411,71.0,1.6685038093694278,76.0,10293,84.0,6169,,1196397,83.0,1950,,10701,,408,,309922,,44055,,14.214866966527062,,61,,205,,840,,1196,,1655,,680,,516.0,,1.0538548172417324,83.0,122.49380567216136,,12649,,1302,,1074,,2246,,157,,331,,2587,,228,,1034,,51.0,,235,78.0,222,,4,,505,,476,,94,,0,,586060,,3693503,,5346191,,1747214,,943964,,1002275,,549594,,409159,,1108200,,390000,,390000,,390000,,390000,,62386,,687086,,670584,,16114,,99.27931290622098,,3937,,2556,,1.1077658975801914,,1.5402973395931143,75.0,213290,,80423,,16837,,20.935553262126504,,1292545,84.0,363.6873944850872,67.0,1371,,874,,1.0441736481340442,,1.568649885583524,78.0,78795,,39720,,7079,,17.822255790533738,,610313,76.0,464.8233054074638,79.0,1763,,1289,,1.0849230769230769,,1.3677269200930955,66.0,97550,,57137,,9348,,16.360676969389363,,621303,79.0,382.3403076923077,70.0,1151,,801,,0.9488870568837593,,1.4369538077403246,71.0,72805,,15087,,3341,,22.14489295419898,,450770,76.0,371.61582852431985,83.0,1983,,0,,1.2977748691099475,,0.0,,91730,,0,,0,,0.0,,687086,87.0,449.663612565445,29.0,166,,0,,0.3126177024482109,,0.0,,31890,,0,,0,,0.0,,62386,83.0,117.48775894538606,62.0
3,origin/constexpr,origin,278.67440784603997,37.0,0.8127608825283243,27.0,5452,75.0,6708,,813886,78.0,2403,,5799,,347,,294314,,30279,,10.287991736716567,,19,,77,,826,,1227,,972,,1198,,282.0,,0.5044411547002221,30.0,75.3040340488527,,56568,,2210,,2609,,15563,,413,,454,,4026,,100,,1776,,55.3,,251,79.0,203,,0,,454,,443,,92,,0,,648490,,3011913,,5111613,,1088708,,1262525,,660680,,392700,,711119,,1707000,,390000,,390000,,390000,,339931,,20,,65352,,51784,,13183,,98.77513043478261,,2082,,2542,,0.5206301575393848,,0.8190401258851299,31.0,239940,,98209,,11280,,11.485709049068822,,949363,80.0,237.40010002500625,26.0,1793,,2377,,0.5752325954443375,,0.7543121581825831,30.0,187035,,109349,,10097,,9.233737848539995,,1058344,84.0,339.5393006095605,43.0,1029,,1072,,0.5274218349564326,,0.9598880597014925,40.0,117095,,70842,,6603,,9.320741932751757,,611047,79.0,313.19682214249104,48.0,500,,682,,0.29655990510083036,,0.7331378299120235,29.0,101180,,14755,,1879,,12.734666214842427,,339931,71.0,201.61981020166073,29.0,95,,0,,1.8627450980392157,,0.0,,3070,,0,,0,,0.0,,65352,53.0,1281.4117647058824,76.0,0,,0,,0.0,,0.0,,170,,0,,0,,0.0,,20,2.0,10.0,3.0
4,origin/233tohka233,origin,415.1335146709879,80.0,1.5059528381596128,70.0,19606,90.0,13019,,2327670,90.0,3566,,20212,,606,,484188,,73420,,15.16353152081423,,69,,115,,1925,,2375,,2747,,2144,,364.0,,1.1346721453787836,87.0,134.71092077087795,,65237,,3399,,2375,,15965,,3582,,587,,5426,,378,,3996,,52.7,,303,82.0,271,,1,,587,,573,,140,,0,,1036760,,7173092,,10519139,,3336532,,2546379,,1290181,,989366,,1440833,,2369000,,390000,,390000,,390000,,390000,,238,,992247,,949351,,41637,,99.61305871212122,,4811,,3508,,1.0984018264840183,,1.3714367160775371,68.0,262840,,119779,,19493,,16.27413820452667,,1671544,87.0,381.6310502283105,72.0,3486,,3081,,1.0487364620938628,,1.1314508276533592,57.0,199475,,100928,,16250,,16.10058655675333,,1486328,88.0,447.15042117930204,75.0,4173,,2898,,1.0195455655998045,,1.439958592132505,69.0,245595,,154516,,21360,,13.823811126355848,,1631331,91.0,398.56608844368435,75.0,5077,,3151,,1.2591765873015872,,1.611234528721041,78.0,241935,,49253,,8817,,17.90144762755568,,1644517,92.0,407.86631944444446,88.0,2945,,0,,2.045138888888889,,0.0,,86405,,0,,0,,0.0,,992247,90.0,689.0604166666667,57.0,0,,0,,0.0,,0.0,,510,,0,,0,,0.0,,238,19.0,29.75,15.0
5,origin/maidiwen33,origin,295.35494356125525,43.0,1.488997555012225,69.0,10353,84.0,6953,,1381574,85.0,3164,,11055,,702,,465267,,54096,,11.626872312027288,,62,,490,,1137,,1671,,1318,,2056,,356.0,,0.6118432716742509,43.0,81.6484841321435,,18402,,2009,,3523,,33300,,4848,,452,,4326,,177,,1521,,54.6,,247,79.0,196,,9,,452,,442,,113,,0,,1015260,,4997701,,6789785,,2078468,,2043398,,875835,,569084,,985940,,1223000,,258421,,390000,,390000,,390000,,428546,,422420,,392748,,28960,,99.23684595147617,,552,,398,,0.5503489531405783,,1.3869346733668342,68.0,60190,,14593,,2441,,16.727197971630233,,258421,53.0,257.6480558325025,32.0,593,,441,,0.7127403846153846,,1.344671201814059,68.0,49970,,18987,,2608,,13.735713909517038,,421927,69.0,507.1237980769231,87.0,7048,,4781,,0.6819545234639575,,1.4741685839782472,71.0,620125,,295213,,40012,,13.553603669215109,,3115261,95.7,301.42825350749877,44.0,701,,634,,0.44621260343730107,,1.1056782334384858,54.0,94295,,11667,,1784,,15.29099168595183,,486633,77.0,309.7600254614895,67.0,797,,0,,0.8216494845360824,,0.0,,58240,,0,,0,,0.0,,422420,82.0,435.4845360824742,26.0,911,,0,,0.41277752605346624,,0.0,,132440,,0,,0,,0.0,,428546,93.0,194.17580425917535,78.0
6,origin/emiroguz27,origin,332.0583427922815,56.0,1.0327012383900929,42.0,5337,75.0,5168,,675045,75.0,1396,,5548,,211,,256749,,30277,,11.792450992993157,,32,,14,,434,,624,,518,,674,,317.0,,0.605788876276958,42.0,76.62258796821793,,14608,,888,,795,,1317,,340,,493,,2506,,103,,1866,,51.9,,256,80.0,237,,0,,493,,467,,86,,0,,528655,,2925434,,4485682,,1152350,,627998,,1145086,,459248,,462819,,1101000,,390000,,272791,,236238,,146396,,41091,,1051971,,957866,,92108,,98.69487348734873,,2242,,3110,,0.531153755034352,,0.7209003215434083,24.0,253310,,113716,,14062,,12.365893981497766,,1346806,85.0,319.0727315801943,53.0,280,,504,,0.37433155080213903,,0.5555555555555556,17.0,44910,,21671,,5126,,23.653730792303076,,272791,61.0,364.6938502673797,51.0,403,,485,,0.5558620689655173,,0.8309278350515464,31.0,43540,,26033,,2574,,9.88745054354089,,236238,62.0,325.8455172413793,53.0,281,,381,,0.47627118644067795,,0.7375328083989501,29.0,35410,,5332,,887,,16.635408852213054,,146396,57.0,248.12881355932203,46.0,2250,,0,,1.0528778661675247,,0.0,,128225,,0,,0,,0.0,,1051971,91.0,492.2653252222742,36.0,98,,0,,0.2532299741602067,,0.0,,23260,,0,,0,,0.0,,41091,80.0,106.17829457364341,58.0
7,origin/tola312,origin,288.5371000680735,40.0,0.5975115336222564,14.0,4274,71.0,7153,,582498,72.0,1312,,4453,,179,,202487,,23154,,11.434808160523884,,12,,118,,463,,726,,818,,637,,398.0,,0.4156374598852475,20.0,56.64669843430905,,38819,,3423,,1678,,5342,,861,,570,,2478,,76,,1611,,45.9,,235,78.0,274,,3,,570,,564,,84,,0,,617015,,2967027,,4240559,,825763,,1062258,,1078706,,385824,,702574,,899000,,246642,,390000,,374952,,390000,,1580,,188977,,127518,,60016,,97.82143021914648,,428,,799,,0.4111431316042267,,0.5356695869837297,13.0,62510,,18296,,2448,,13.379973764757324,,246642,52.0,236.9279538904899,26.0,1628,,2836,,0.4102822580645161,,0.5740479548660085,18.0,238130,,90074,,11016,,12.229944268046273,,1377878,87.0,347.2474798387097,46.0,503,,951,,0.35347856640899505,,0.5289169295478444,13.0,85410,,47958,,3810,,7.944451394970599,,374952,69.0,263.49402670414617,32.0,1612,,2439,,0.449150181108944,,0.6609266092660927,24.0,215360,,35187,,5059,,14.377468951601443,,870408,86.0,242.52103650041795,44.0,220,,0,,1.0628019323671498,,0.0,,12435,,0,,0,,0.0,,188977,71.0,912.9323671497584,67.0,0,,0,,0.0,,0.0,,3170,,0,,0,,0.0,,1580,47.0,30.384615384615383,16.0
8,origin/berns4,origin,251.58620689655172,28.0,0.8877737226277372,32.0,3892,69.0,4384,,598392,73.0,1333,,4101,,209,,199335,,21215,,10.642887601274237,,22,,5,,355,,555,,756,,709,,291.0,,0.4534016775396086,24.0,69.71015843429636,,6175,,338,,721,,2370,,0,,133,,3017,,56,,1247,,38.8,,235,78.0,368,,2,,605,,590,,67,,0,,515055,,2159616,,2481736,,861345,,507636,,790335,,293787,,349992,,455600,,390000,,244354,,390000,,316651,,87278,,142809,,116659,,25618,,97.20861731296515,,1671,,1891,,0.4933569530558016,,0.8836594394500265,36.0,203230,,53067,,8819,,16.618614204684647,,943894,80.0,278.68142899320935,39.0,438,,599,,0.4446700507614213,,0.7312186978297162,29.0,59150,,19084,,2783,,14.582896667365333,,244354,59.0,248.0751269035533,18.0,789,,931,,0.4467723669309173,,0.8474758324382384,33.0,105965,,51253,,5437,,10.608159522369421,,439372,73.0,248.79501698754248,27.0,530,,657,,0.36551724137931035,,0.806697108066971,34.0,87005,,11530,,1660,,14.397224631396357,,316651,70.0,218.38,35.0,265,,0,,0.6527093596059114,,0.0,,24410,,0,,0,,0.0,,142809,67.0,351.7463054187192,12.0,225,,0,,0.3826530612244898,,0.0,,35295,,0,,0,,0.0,,87278,85.0,148.43197278911563,70.0
9,xbl/deeplinck,xbl,372.82761058372046,69.0,1.6463954002653693,75.0,7445,80.0,4522,,894324,79.0,1409,,7703,,258,,257726,,34857,,13.524828694039407,,30,,175,,668,,863,,1612,,716,,363.0,,0.7518683094324379,59.0,90.31751161381538,,20044,,1501,,628,,5155,,2236,,471,,3091,,122,,1375,,50.4,,237,78.0,231,,2,,471,,468,,93,,0,,594145,,3691739,,5184010,,1364927,,1133495,,1193317,,479271,,511095,,1013000,,390000,,390000,,390000,,390000,,50001,,419780,,340727,,77257,,98.18200757575758,,1285,,929,,0.7694610778443114,,1.3832077502691065,68.0,100205,,39894,,7192,,18.027773600040106,,623128,72.0,373.13053892215567,69.0,882,,677,,0.6661631419939577,,1.3028064992614476,66.0,79450,,28400,,6132,,21.591549295774648,,579153,75.0,437.42673716012087,73.0,2593,,1598,,0.8169502205419029,,1.6226533166458073,77.0,190485,,122611,,13680,,11.157237115756335,,1213485,88.0,382.320415879017,70.0,1879,,1083,,0.6969584569732937,,1.7349953831948293,82.0,161800,,21857,,4221,,19.31189092739168,,935531,87.0,347.00704747774483,77.0,864,,0,,1.2237960339943343,,0.0,,42360,,0,,0,,0.0,,419780,82.0,594.5892351274788,49.0,130,,0,,0.3939393939393939,,0.0,,19845,,0,,0,,0.0,,50001,82.0,151.51818181818183,70.0
