,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile
0,origin/pawcio1337,origin,458.6734803297366,88.0,2.010833118390508,85.0,15592,88.0,7754,,1944897,88.0,3808,,16250,,658,,395231,,84902,,21.48161454946601,,20,,85,,1488,,2286,,4060,,1901,,248.0,,1.0449701762616446,82.0,130.3462904631057,,39037,,2577,,1789,,11606,,3534,,921,,4408,,225,,2313,,52.8,,479,87.0,428,,0,,946,,902,,133,,0,,895265,,6843867,,9520490,,2723266,,1837171,,2283430,,909444,,938325,,1777200,,390000,,390000,,390000,,390000,,690,,94493,,73639,,20245,,99.37881002087683,,6605,,3071,,1.0944490472245236,,2.1507652230543797,91.0,362105,,135001,,32119,,23.79167561721765,,2734271,92.0,453.0689312344656,87.0,2316,,1321,,1.033467202141901,,1.753217259651779,83.0,134475,,79235,,14295,,18.041269640941504,,1110472,85.0,495.5252119589469,85.0,4891,,2397,,1.0107460219053523,,2.0404672507300794,88.0,290370,,149321,,31528,,21.114243810314694,,2164592,93.0,447.3221740028932,85.0,1750,,901,,0.9977194982896237,,1.9422863485016648,86.0,105255,,28924,,6778,,23.433826580002766,,793375,85.0,452.32326111744584,93.0,174,,0,,5.117647058823529,,0.0,,2065,,0,,0,,0.0,,94493,60.0,2779.205882352941,88.0,1,,0,,0.0625,,0.0,,995,,0,,0,,0.0,,690,34.0,43.125,24.0
1,psn/lhtky_true_69,psn,499.2932354417671,93.0,2.1364003228410007,88.0,21176,91.0,9912,,2593603,91.0,4562,,21976,,800,,540019,,106605,,19.740972076908406,,35,,66,,2076,,3016,,5106,,2269,,289.0,,1.3288152610441768,93.0,162.7511922690763,,51060,,3150,,3472,,9453,,656,,525,,5668,,260,,3508,,56.2,,479,87.0,371,,2,,852,,834,,124,,0,,956190,,7956737,,8313520,,3565316,,2333968,,2057353,,1685352,,1224421,,1102800,,390000,,390000,,390000,,390000,,1148,,66391,,54813,,11269,,99.92211538461538,,4191,,2024,,1.2688465031789282,,2.0706521739130435,89.0,198220,,101063,,21364,,21.139289354165225,,1529710,86.0,463.12745988495305,88.0,7467,,3747,,1.4440146973506092,,1.9927942353883106,88.0,310265,,240256,,42371,,17.635771843367078,,2794824,93.0,540.4803713014891,91.0,6074,,2585,,1.4625571875752468,,2.3497098646034815,92.0,249225,,171546,,34298,,19.993471138936496,,2168895,93.0,522.2477726944378,94.0,3413,,1478,,1.0498308212857583,,2.3092016238159676,92.0,195085,,25247,,8252,,32.68507149364281,,1404005,91.0,431.8686557982159,91.0,117,,0,,3.4411764705882355,,0.0,,2040,,0,,0,,0.0,,66391,53.0,1952.6764705882354,83.0,0,,0,,0.0,,0.0,,1355,,0,,0,,0.0,,1148,42.0,52.18181818181818,30.0
2,origin/battlebro100,origin,447.7204612690938,86.0,3.228677150786309,96.5,17451,89.0,5405,,2010468,89.0,3452,,18090,,639,,532938,,80459,,15.097253339037561,,76,,71,,1302,,1856,,1814,,1260,,257.0,,1.0536134758195979,83.0,121.38308277485963,,23665,,2377,,1658,,2838,,2093,,796,,4928,,406,,2634,,60.6,,482,87.0,314,,0,,796,,783,,138,,0,,993810,,7415594,,10255496,,3757487,,1687450,,1970657,,1010902,,962614,,1829000,,390000,,390000,,390000,,304951,,1349,,2534525,,2458061,,74440,,99.76163424124513,,8243,,3364,,1.0431536319919008,,2.450356718192628,94.0,474140,,212082,,38655,,18.226440716326703,,3611853,94.0,457.08086560364467,88.0,1607,,769,,0.9337594421847762,,2.0897269180754225,90.0,103305,,64796,,12230,,18.874621890240135,,823728,81.0,478.6333527019175,82.0,1064,,516,,0.8397790055248618,,2.062015503875969,88.0,76025,,38310,,5752,,15.014356564865569,,463938,74.0,366.1704814522494,66.0,647,,276,,0.8435462842242504,,2.3442028985507246,92.0,46075,,11595,,2484,,21.423027166882278,,304951,69.0,397.5893089960887,87.0,6603,,0,,1.3505829412967887,,0.0,,293385,,0,,0,,0.0,,2534525,96.4,518.4137860503171,40.0,0,,0,,0.0,,0.0,,880,,0,,0,,0.0,,1349,45.0,96.35714285714286,54.0
3,xbl/dominantwallace,xbl,347.53141329444645,61.0,1.6778734680357734,76.0,10131,84.0,6038,,1274164,84.0,3165,,10700,,569,,359855,,49064,,13.634380514373845,,24,,41,,1126,,1522,,2194,,1762,,248.0,,0.6155668975574189,43.0,77.41912747599952,,18147,,2371,,3212,,6200,,90,,751,,4302,,211,,3521,,59.7,,483,87.0,326,,0,,812,,791,,123,,0,,987525,,5719672,,8131408,,1760029,,1297793,,2661500,,911693,,1049458,,1506000,,390000,,390000,,390000,,390000,,1161,,391205,,318697,,71297,,99.40596577017115,,5617,,3056,,0.6660737578560417,,1.8380235602094241,85.0,506035,,134925,,24350,,18.047063183249954,,2885618,92.0,342.1816672595755,60.0,948,,803,,0.451858913250715,,1.1805728518057286,60.0,125915,,53871,,5604,,10.40262850142006,,771137,80.0,367.55815061963773,52.0,2141,,1507,,0.5930747922437674,,1.4207033842070338,68.0,216615,,121698,,13458,,11.058521914904107,,1259542,89.0,348.90360110803323,60.0,869,,447,,0.6171875,,1.9440715883668904,86.0,84515,,14261,,3023,,21.197671972512445,,473025,77.0,335.9552556818182,74.0,598,,0,,0.6921296296296297,,0.0,,51850,,0,,0,,0.0,,391205,81.0,452.78356481481484,29.0,0,,0,,0.0,,0.0,,2595,,0,,0,,0.0,,1161,42.0,27.0,14.0
4,origin/kawashima-nanako,origin,842.6903356247473,99.6,6.03434631212409,99.1,38125,95.1,6318,,4188151,94.0,3532,,38845,,720,,547021,,176030,,32.179751782838316,,118,,46,,2149,,3222,,7461,,1054,,659.0,,3.083299636069551,99.4,338.7101496158512,,13829,,1123,,535,,2861,,341,,712,,3182,,914,,1105,,69.2,,493,88.0,217,,2,,712,,689,,163,,0,,741910,,10419866,,12744890,,6735702,,1763071,,1921093,,1522024,,489378,,803000,,390000,,390000,,390000,,390000,,549321,,1733214,,1524702,,201561,,99.0394373858647,,12143,,2460,,3.1483017889551466,,4.936178861788618,99.5,231450,,175854,,66527,,37.83081419814164,,3168363,93.0,821.4578688099559,99.6,4927,,804,,3.676865671641791,,6.128109452736318,99.7,80430,,75148,,27980,,37.233193165486774,,1321234,87.0,985.9955223880597,99.6,6724,,1353,,2.871050384286934,,4.96969696969697,99.2,140565,,111506,,32097,,28.784998116693274,,1824397,92.0,778.9910333048676,99.1,8906,,1234,,3.9547069271758435,,7.217179902755268,99.7,135175,,52116,,22305,,42.798756619848035,,2687094,95.7,1193.2033747779751,99.7,6683,,0,,6.08098271155596,,0.0,,65970,,0,,0,,0.0,,1733214,94.0,1577.0828025477706,80.0,2215,,0,,1.5047554347826086,,0.0,,88320,,0,,0,,0.0,,549321,94.0,373.18002717391306,93.0
5,xbl/guatemateco,xbl,544.7912080352229,96.4,3.6471771075019337,97.5,23579,92.0,6465,,2677049,91.0,4095,,24330,,751,,685120,,103598,,15.121146660439047,,77,,269,,2055,,2773,,3450,,1716,,408.0,,1.6221106219042378,96.9,184.166827187672,,31011,,2851,,1276,,3759,,812,,569,,5817,,511,,4099,,64.6,,478,87.0,254,,8,,740,,729,,141,,0,,872185,,7919085,,10580756,,4024683,,2235857,,1658545,,1896988,,1195119,,1367800,,390000,,390000,,390000,,390000,,232713,,1548960,,1516083,,32043,,98.88557009345794,,8689,,2740,,1.7578393688043699,,3.171167883211679,97.8,296635,,140383,,36917,,26.2973436954617,,2649073,91.0,535.9241351406029,95.9,4935,,1641,,1.6906474820143884,,3.0073126142595976,97.3,175165,,109801,,24414,,22.234770175135015,,1822743,90.0,624.4409044193217,97.2,2346,,854,,1.46625,,2.747072599531616,95.4,96055,,85369,,13642,,15.980039592826436,,841947,84.0,526.216875,94.0,3340,,850,,1.5695488721804511,,3.929411764705882,98.5,127685,,27150,,8872,,32.67771639042357,,1072710,88.0,504.09304511278197,96.5,4633,,0,,2.2188697318007664,,0.0,,125310,,0,,0,,0.0,,1548960,93.0,741.8390804597701,60.0,424,,0,,0.495906432748538,,0.0,,51335,,0,,0,,0.0,,232713,90.0,272.17894736842106,87.0
6,psn/duofei,psn,320.69660061806945,52.0,0.8657939003876253,31.0,11838,86.0,13673,,1535957,86.0,3162,,12324,,486,,439489,,63589,,14.468849049691801,,26,,629,,909,,1377,,2091,,1564,,323.0,,0.7173241228867479,55.0,93.07138096103739,,56363,,3856,,2354,,5000,,2177,,851,,3597,,142,,2579,,56.6,,479,87.0,368,,0,,851,,822,,117,,0,,990215,,5292456,,7289485,,2248799,,1485207,,1558450,,767029,,890230,,1230000,,390000,,390000,,390000,,159351,,41018,,435190,,414031,,20604,,99.25769335511983,,4908,,6346,,0.7099667293504991,,0.7734005672864797,28.0,414820,,112650,,20540,,18.23346648912561,,2035011,89.0,294.3745117893823,44.0,4525,,4902,,0.8370329263780985,,0.9230926152590779,43.0,324385,,196209,,29332,,14.949365217701532,,2150568,91.0,397.811320754717,62.0,1277,,1601,,0.6043539990534784,,0.7976264834478451,29.0,126780,,87690,,9040,,10.309043220435624,,622539,79.0,294.6232844297208,42.0,323,,397,,0.4984567901234568,,0.8136020151133502,34.0,38920,,3585,,824,,22.984658298465828,,159351,58.0,245.91203703703704,45.0,1230,,0,,1.314102564102564,,0.0,,56160,,0,,0,,0.0,,435190,82.0,464.9465811965812,32.0,98,,0,,0.2020618556701031,,0.0,,29150,,0,,0,,0.0,,41018,80.0,84.57319587628866,49.0
7,xbl/wizardmerlin498,xbl,338.13471667996805,58.0,0.9568813663169181,37.0,12494,86.0,13057,,1573011,86.0,3102,,13010,,516,,682577,,59785,,8.75871879656068,,61,,200,,1113,,1513,,1739,,1345,,294.0,,0.6647512636339452,49.0,83.69305666400639,,21239,,5116,,3305,,3451,,95,,889,,4660,,204,,3983,,53.8,,478,87.0,409,,2,,889,,859,,128,,0,,1127745,,6355242,,8868489,,2263691,,2029751,,2061800,,918247,,1379551,,1595000,,254252,,390000,,280889,,390000,,469102,,740881,,705843,,34106,,99.87037162162163,,512,,820,,0.5383806519453207,,0.624390243902439,18.0,57080,,18130,,2452,,13.524544953116383,,254252,53.0,267.3522607781283,35.0,6081,,7496,,0.6693450742982939,,0.8112326574172892,35.0,545140,,306711,,31319,,10.21124120100029,,3376623,94.0,371.6701155751238,54.0,605,,650,,0.6843891402714932,,0.9307692307692308,38.0,53095,,27351,,4167,,15.235274761434683,,280889,65.0,317.7477375565611,50.0,2291,,2990,,0.6099574014909478,,0.7662207357859532,31.0,225385,,75727,,10022,,13.23438139633156,,1300021,90.0,346.11847710330136,77.0,1850,,0,,1.013143483023001,,0.0,,109580,,0,,0,,0.0,,740881,88.0,405.7398685651698,21.0,1336,,0,,0.5831514622435617,,0.0,,137465,,0,,0,,0.0,,469102,93.0,204.75862068965517,80.0
8,origin/chinamtl,origin,513.9233193653522,94.0,3.5635997614076946,97.3,47795,96.3,13412,,5646227,96.1,9108,,49555,,1760,,1015858,,163860,,16.1302071746248,,117,,147,,3950,,6257,,8378,,4625,,481.0,,1.711793990186598,97.5,202.22151785394507,,17916,,2249,,4324,,9645,,1940,,842,,7874,,937,,7579,,56.8,,478,87.0,362,,2,,842,,815,,203,,0,,1675305,,14349253,,18572030,,8831318,,3612912,,1905023,,1886339,,2275943,,2338000,,390000,,390000,,390000,,390000,,1781737,,3104825,,3067435,,36294,,99.80267347350036,,22410,,7820,,1.775612075112907,,2.8657289002557547,96.8,757265,,306394,,73836,,24.098383127606937,,6334049,96.7,501.86585848981855,93.0,1894,,984,,1.4535686876438987,,1.9247967479674797,87.0,78235,,45424,,7318,,16.110426206410708,,702085,79.0,538.8219493476593,91.0,3809,,1505,,1.5700741962077494,,2.5308970099667776,94.0,145570,,102549,,20078,,19.57893299788394,,1266332,89.0,521.9835119538335,94.0,5139,,1859,,1.655072463768116,,2.764389456697149,95.6,186315,,32010,,9368,,29.265854420493596,,1381312,91.0,444.8669887278583,92.0,9797,,0,,2.116897147796024,,0.0,,277730,,0,,0,,0.0,,3104825,97.2,670.878349178911,56.0,5654,,0,,1.4739311783107403,,0.0,,230190,,0,,0,,0.0,,1781737,97.7,464.4778415015641,95.4
9,origin/zekoo245,origin,301.7747255579034,45.0,1.3886385896180216,64.0,14178,87.0,10210,,1780771,88.0,3324,,14738,,558,,774142,,67303,,8.693883034378706,,53,,35,,1064,,1558,,1787,,1710,,463.0,,0.7307117456063495,57.0,91.7781270937484,,16412,,1589,,2142,,2119,,65,,1017,,4258,,265,,2439,,47.2,,478,87.0,533,,2,,1017,,974,,126,,0,,1164185,,5855335,,8562271,,3003363,,1175548,,1676374,,811936,,731311,,1895000,,390000,,390000,,390000,,390000,,520866,,1947914,,1896504,,50087,,99.56129069767442,,3314,,3613,,0.6659967845659164,,0.9172432881262109,38.0,298610,,160520,,19107,,11.903189633690506,,1538692,86.0,309.2226688102894,49.0,1627,,1764,,0.6318446601941747,,0.9223356009070295,42.0,154500,,112805,,13700,,12.144851735295422,,878666,82.0,341.2295145631068,44.0,1312,,1389,,0.6735112936344969,,0.9445644348452124,39.0,116935,,97242,,8395,,8.633100923469284,,541159,77.0,277.8023613963039,37.0,1349,,1343,,0.6000889679715302,,1.0044676098287417,48.0,134925,,22597,,3358,,14.860379696419878,,557987,80.0,248.21485765124555,46.0,5280,,0,,1.071863580998782,,0.0,,295585,,0,,0,,0.0,,1947914,95.2,395.43524157531465,19.0,1579,,0,,0.579024569123579,,0.0,,163630,,0,,0,,0.0,,520866,93.0,191.003300330033,78.0
