,player_id,platform,scorePerMinute_value,scorePerMinute_percentile,kdRatio_value,kdRatio_percentile,kills_value,kills_percentile,deaths_value,deaths_percentile,damage_value,damage_percentile,assists_value,assists_percentile,killsAggregated_value,killsAggregated_percentile,assistsAsKills_value,assistsAsKills_percentile,shotsTaken_value,shotsTaken_percentile,shotsHit_value,shotsHit_percentile,shotsAccuracy_value,shotsAccuracy_percentile,killStreak_value,killStreak_percentile,dogtagsTaken_value,dogtagsTaken_percentile,avengerKills_value,avengerKills_percentile,saviorKills_value,saviorKills_percentile,headshots_value,headshots_percentile,suppressionAssists_value,suppressionAssists_percentile,longestHeadshot_value,longestHeadshot_percentile,killsPerMinute_value,killsPerMinute_percentile,damagePerMinute_value,damagePerMinute_percentile,heals_value,heals_percentile,revives_value,revives_percentile,revivesRecieved_value,revivesRecieved_percentile,resupplies_value,resupplies_percentile,repairs_value,repairs_percentile,aceSquad_value,aceSquad_percentile,squadSpawns_value,squadSpawns_percentile,squadWipes_value,squadWipes_percentile,ordersCompleted_value,ordersCompleted_percentile,wlPercentage_value,wlPercentage_percentile,wins_value,wins_percentile,losses_value,losses_percentile,draws_value,draws_percentile,rounds_value,rounds_percentile,roundsPlayed_value,roundsPlayed_percentile,rank_value,rank_percentile,rankScore_value,rankScore_percentile,timePlayed_value,timePlayed_percentile,scoreRound_value,scoreRound_percentile,scoreGeneral_value,scoreGeneral_percentile,scoreCombat_value,scoreCombat_percentile,scoreDefensive_value,scoreDefensive_percentile,scoreObjective_value,scoreObjective_percentile,scoreBonus_value,scoreBonus_percentile,scoreSquad_value,scoreSquad_percentile,scoreAward_value,scoreAward_percentile,scoreAssault_value,scoreAssault_percentile,scoreMedic_value,scoreMedic_percentile,scoreSupport_value,scoreSupport_percentile,scoreRecon_value,scoreRecon_percentile,scoreAir_value,scoreAir_percentile,scoreLand_value,scoreLand_percentile,scoreTanks_value,scoreTanks_percentile,scoreTransports_value,scoreTransports_percentile,rankProgression_value,rankProgression_percentile,Assault_kills_value,Assault_kills_percentile,Assault_deaths_value,Assault_deaths_percentile,Assault_killsPerMinute_value,Assault_killsPerMinute_percentile,Assault_kdRatio_value,Assault_kdRatio_percentile,Assault_timePlayed_value,Assault_timePlayed_percentile,Assault_shotsFired_value,Assault_shotsFired_percentile,Assault_shotsHit_value,Assault_shotsHit_percentile,Assault_shotsAccuracy_value,Assault_shotsAccuracy_percentile,Assault_score_value,Assault_score_percentile,Assault_scorePerMinute_value,Assault_scorePerMinute_percentile,Medic_kills_value,Medic_kills_percentile,Medic_deaths_value,Medic_deaths_percentile,Medic_killsPerMinute_value,Medic_killsPerMinute_percentile,Medic_kdRatio_value,Medic_kdRatio_percentile,Medic_timePlayed_value,Medic_timePlayed_percentile,Medic_shotsFired_value,Medic_shotsFired_percentile,Medic_shotsHit_value,Medic_shotsHit_percentile,Medic_shotsAccuracy_value,Medic_shotsAccuracy_percentile,Medic_score_value,Medic_score_percentile,Medic_scorePerMinute_value,Medic_scorePerMinute_percentile,Pilot_kills_value,Pilot_kills_percentile,Pilot_deaths_value,Pilot_deaths_percentile,Pilot_killsPerMinute_value,Pilot_killsPerMinute_percentile,Pilot_kdRatio_value,Pilot_kdRatio_percentile,Pilot_timePlayed_value,Pilot_timePlayed_percentile,Pilot_shotsFired_value,Pilot_shotsFired_percentile,Pilot_shotsHit_value,Pilot_shotsHit_percentile,Pilot_shotsAccuracy_value,Pilot_shotsAccuracy_percentile,Pilot_score_value,Pilot_score_percentile,Pilot_scorePerMinute_value,Pilot_scorePerMinute_percentile,Recon_kills_value,Recon_kills_percentile,Recon_deaths_value,Recon_deaths_percentile,Recon_killsPerMinute_value,Recon_killsPerMinute_percentile,Recon_kdRatio_value,Recon_kdRatio_percentile,Recon_timePlayed_value,Recon_timePlayed_percentile,Recon_shotsFired_value,Recon_shotsFired_percentile,Recon_shotsHit_value,Recon_shotsHit_percentile,Recon_shotsAccuracy_value,Recon_shotsAccuracy_percentile,Recon_score_value,Recon_score_percentile,Recon_scorePerMinute_value,Recon_scorePerMinute_percentile,Support_kills_value,Support_kills_percentile,Support_deaths_value,Support_deaths_percentile,Support_killsPerMinute_value,Support_killsPerMinute_percentile,Support_kdRatio_value,Support_kdRatio_percentile,Support_timePlayed_value,Support_timePlayed_percentile,Support_shotsFired_value,Support_shotsFired_percentile,Support_shotsHit_value,Support_shotsHit_percentile,Support_shotsAccuracy_value,Support_shotsAccuracy_percentile,Support_score_value,Support_score_percentile,Support_scorePerMinute_value,Support_scorePerMinute_percentile,Tanker_kills_value,Tanker_kills_percentile,Tanker_deaths_value,Tanker_deaths_percentile,Tanker_killsPerMinute_value,Tanker_killsPerMinute_percentile,Tanker_kdRatio_value,Tanker_kdRatio_percentile,Tanker_timePlayed_value,Tanker_timePlayed_percentile,Tanker_shotsFired_value,Tanker_shotsFired_percentile,Tanker_shotsHit_value,Tanker_shotsHit_percentile,Tanker_shotsAccuracy_value,Tanker_shotsAccuracy_percentile,Tanker_score_value,Tanker_score_percentile,Tanker_scorePerMinute_value,Tanker_scorePerMinute_percentile
0,origin/dnt_headhunter,origin,659.3951397226247,99.0,3.8852046923629397,97.9,292113,99.9,75186,,33780882,99.9,53658,,302774,,10661,,5317072,,1625790,,30.576791136174197,,63,,657,,26930,,42759,,63192,,18516,,560.0,,2.418654522873111,99.1,279.7009480438833,,507494,,13588,,31244,,79566,,587,,6862,,40628,,5894,,23169,,67.1,,4830,99.6,2367,,6,,7216,,7031,,500,,0,,7246520,,79638448,,74613750,,46176180,,17264274,,16696825,,12386694,,9453260,,6630200,,390000,,390000,,390000,,390000,,2176287,,1463883,,1288044,,170611,,100.0,,107112,,27425,,2.450626887526311,,3.90563354603464,98.9,2622495,,2049930,,516037,,25.173396164747093,,28634494,99.7,655.1316463805254,99.0,84297,,22224,,2.6355990495247625,,3.793061555075594,98.7,1919080,,1880304,,703010,,37.38810320033356,,22341982,99.6,698.5362056028014,98.7,8129,,0,,1.8860788863109048,,0.0,,258600,,0,,0,,0.0,,2176287,98.1,504.9389791183295,96.0,36142,,10005,,1.9679825755513205,,3.612393803098451,98.0,1101900,,232935,,77589,,33.30929229184107,,11164181,99.5,607.905309011707,98.6,51807,,13322,,2.5237236944660952,,3.8888305059300405,98.4,1231720,,930132,,256178,,27.542112302339884,,14283304,99.6,695.7961808261887,98.6,4722,,0,,2.5143769968051117,,0.0,,112725,,0,,0,,0.0,,1463883,93.0,779.4904153354632,62.0
1,origin/phantera65,origin,313.0110209839535,49.0,1.6398986756732734,75.0,110703,99.0,67506,,14149122,99.1,26968,,115242,,4538,,5365508,,546976,,10.194300334656104,,62,,483,,9769,,14385,,16552,,13446,,444.0,,0.6100279932992417,43.0,77.96862325868453,,334669,,21242,,16349,,86662,,8610,,8414,,39704,,1866,,34553,,48.4,,4829,99.6,5142,,2,,10076,,9879,,488,,0,,10888350,,56802736,,71453352,,21466732,,14533185,,21097238,,8046918,,9720116,,13462600,,390000,,390000,,390000,,390000,,3398518,,8138791,,7622145,,504506,,99.88760829678299,,23347,,18026,,0.6063368393715102,,1.2951847331632087,64.0,2310340,,827236,,121634,,14.703663767050756,,13112499,98.8,340.5401636151149,60.0,17511,,15105,,0.5750550064037305,,1.1592850049652432,59.0,1827110,,737972,,104761,,14.195796046462467,,11915282,98.8,391.2936192571673,60.0,10413,,0,,0.6789463389189542,,0.0,,920260,,0,,0,,0.0,,3398518,98.8,221.58948946990938,82.0,14238,,9763,,0.4731647336412881,,1.4583632080303186,72.0,1805485,,244720,,44349,,18.122343903236352,,7030084,98.9,233.62746336113787,41.0,26214,,18784,,0.5951235016345805,,1.3955494037478706,67.0,2642910,,1421503,,178832,,12.580486991585666,,14607845,99.7,331.6346939702143,55.0,21252,,0,,0.9225159525979946,,0.0,,1382245,,0,,0,,0.0,,8138791,99.3,353.29213873334203,12.0
2,psn/ii3badix,psn,417.0476271911073,80.0,2.7678592892343445,94.0,207249,99.8,74877,,23602761,99.7,38676,,215146,,7897,,5445641,,956277,,17.56041208004714,,56,,8306,,22957,,31009,,43173,,11686,,451.0,,1.7721162890123985,97.8,201.8192475416845,,134910,,24372,,31946,,23253,,617,,8185,,54924,,4096,,7959,,58.4,,4833,99.6,3419,,18,,8270,,8015,,445,,0,,7017030,,48773720,,61703340,,30790526,,10431749,,7680779,,6709443,,7895688,,6271800,,390000,,390000,,390000,,390000,,209093,,285643,,246384,,38121,,99.82138278295687,,40191,,15693,,1.4764161340092572,,2.561078187727012,95.2,1633365,,1069031,,198252,,18.54501880675116,,9706501,98.1,356.5682536183969,65.0,139151,,46923,,2.018641289367937,,2.9655179762589774,97.0,4135980,,3691995,,638509,,17.294416704247976,,31886388,99.8,462.57072809829833,79.0,641,,0,,0.5497427101200686,,0.0,,69965,,0,,0,,0.0,,209093,89.0,179.32504288164665,76.0,8151,,4473,,1.141276953234388,,1.8222669349429912,84.0,428540,,66445,,17334,,26.08774174128979,,2270213,94.0,317.8679641556987,70.0,18282,,6737,,1.5585677749360614,,2.7136707733412497,95.2,703820,,540661,,97486,,18.03089181575886,,4514461,97.4,384.86453537936916,71.0,847,,0,,1.1203703703703705,,0.0,,45360,,0,,0,,0.0,,285643,77.0,377.8346560846561,16.0
3,origin/evilcardoso,origin,496.22557408970937,93.0,2.3922898338220917,91.0,156628,99.5,65472,,18033963,99.5,31504,,162835,,6206,,3882987,,789539,,20.33328981013843,,56,,1188,,16133,,24070,,26702,,11512,,380.0,,1.191368307357628,89.0,137.17274034182964,,300512,,30154,,31039,,42313,,625,,6090,,39435,,3441,,35188,,65.6,,4827,99.6,2521,,11,,7359,,7156,,500,,0,,7888185,,65238280,,74613750,,24196056,,14004850,,27317584,,9714228,,10321966,,6958000,,390000,,390000,,390000,,390000,,277281,,786382,,411863,,366742,,100.0,,83555,,34323,,1.1958979790462014,,2.434373452204061,94.0,4192135,,2030391,,437902,,21.5673729838243,,34266552,99.8,490.4470143699548,92.0,51694,,20477,,1.231894764435336,,2.5244908922205402,95.0,2517800,,1462797,,263543,,18.01637547793713,,23060410,99.6,549.5415008459834,92.0,777,,0,,0.505530253741054,,0.0,,92220,,0,,0,,0.0,,277281,91.0,180.40403383214053,76.0,5289,,2750,,0.802701472150554,,1.9232727272727272,86.0,395375,,65364,,16121,,24.663423291108256,,2315253,94.0,351.38154499924116,78.0,14787,,6994,,1.3552378333791586,,2.114240777809551,89.0,654680,,157080,,65037,,41.403743315508024,,5160997,97.8,473.00861515901386,89.0,1027,,0,,1.7145242070116862,,0.0,,35975,,0,,0,,0.0,,786382,89.0,1312.8247078464108,76.0
4,origin/silverf0x,origin,300.49566112344945,45.0,2.007540185762758,85.0,117148,99.1,58354,,14424134,99.2,21854,,120757,,3608,,4069896,,377772,,9.282104505864524,,50,,16,,5102,,7330,,5168,,7531,,473.0,,0.6345701749634365,46.0,78.13300471263746,,9487,,978,,4195,,11184,,4592,,8542,,39946,,2265,,18305,,56.7,,4829,99.6,3675,,17,,8542,,8371,,492,,0,,11076640,,55474504,,72544288,,29145586,,8012558,,18436152,,7281836,,4025386,,9899000,,390000,,390000,,390000,,390000,,18060,,34440260,,28812584,,5488335,,99.8493374395678,,31184,,24298,,0.5070486658753516,,1.2833978105193844,63.0,3690085,,1682349,,134838,,8.014864929928333,,17179430,99.3,279.3357831579974,39.0,2231,,1174,,0.6592789598108747,,1.9003407155025553,87.0,203090,,94355,,7899,,8.371575433204388,,1050227,84.0,310.350768321513,34.0,30,,0,,0.07556675062972293,,0.0,,23845,,0,,0,,0.0,,18060,75.0,45.4911838790932,26.0,11471,,8749,,0.4008036338225017,,1.3111212710024003,66.0,1717245,,471210,,40514,,8.597865070775239,,5496227,98.4,192.04147449336128,25.0,28087,,15802,,0.602725321888412,,1.7774332362992027,82.0,2796055,,1302385,,94993,,7.293772578768951,,14187939,99.6,304.4622103004292,45.0,81255,,0,,1.8423081283301213,,0.0,,2646320,,0,,0,,0.0,,34440260,99.9,780.8697426595625,62.0
5,origin/dieter_schwarz,origin,541.7614454495108,96.3,4.114647147744451,98.2,103434,98.9,25138,,12412260,98.9,24363,,107636,,4202,,2987650,,409754,,13.71492644720767,,118,,216,,7747,,12008,,11354,,12081,,470.0,,1.1933957910282444,89.0,143.20957171866345,,287961,,16722,,11732,,63689,,20618,,5495,,18637,,2534,,37107,,87.8,,4823,99.6,638,,32,,5495,,5405,,458,,0,,5200345,,46955548,,63652900,,20660368,,15842736,,10573981,,10962504,,10150087,,5816000,,390000,,390000,,390000,,390000,,6396000,,10773408,,10300416,,459425,,99.99238113191245,,18323,,8035,,0.9952202487643257,,2.2803982576229,92.0,1104705,,507112,,87173,,17.19008818564735,,8424779,97.7,457.59486176742166,88.0,13366,,6298,,0.9747666277712952,,2.1222610352492857,91.0,822750,,474338,,69603,,14.673713680961677,,7992137,97.8,582.8571324387398,95.2,22003,,0,,1.6411576042365927,,0.0,,804460,,0,,0,,0.0,,6396000,99.4,477.0642201834862,95.6,9767,,3100,,0.9224593879863997,,3.150645161290323,97.1,635280,,131486,,27324,,20.780919641634853,,4364615,97.8,412.2227993955421,89.0,15846,,5087,,0.9864906928967192,,3.1149990171024178,96.9,963835,,567719,,81625,,14.377711508686517,,10863811,99.4,676.3251571935504,98.5,28198,,0,,1.9463003865267807,,0.0,,869315,,0,,0,,0.0,,10773408,99.5,743.6090557702927,60.0
6,psn/erichn1690,psn,425.0553359969366,82.0,2.185479683240296,88.0,134678,99.3,61624,,16086169,99.3,28520,,139512,,4834,,7220429,,644617,,8.927682828818066,,82,,655,,10254,,13650,,16267,,11332,,552.0,,0.9730436604556062,78.0,116.22198700951527,,220440,,13107,,10807,,45445,,14419,,5400,,37325,,2836,,22659,,66.8,,4823,99.6,2376,,25,,7229,,6962,,478,,0,,8304565,,58831484,,68469936,,27421644,,15231881,,16720038,,9234252,,7178560,,13577000,,390000,,390000,,390000,,390000,,10749111,,10664824,,10288428,,365699,,99.61617982432212,,23621,,15392,,0.8940236932742894,,1.5346283783783783,75.0,1585300,,634421,,111283,,17.540875853731198,,10338799,98.3,391.3099049998108,74.0,25264,,14851,,1.0898580734221992,,1.7011649047202209,82.0,1390900,,865146,,158554,,18.326848878686373,,11266031,98.7,486.0028040205341,84.0,25650,,0,,1.0581246648240583,,0.0,,1454485,,0,,0,,0.0,,10749111,99.7,443.42688007920464,95.0,14389,,8675,,0.775436516490623,,1.6586743515850144,79.0,1113395,,229888,,44722,,19.453820991091312,,6945527,98.9,374.30087303298126,83.0,24430,,14088,,0.9103443136085855,,1.734099943214083,80.0,1610160,,1031152,,138866,,13.467073719490433,,11114187,99.4,414.15214637054703,78.0,25378,,0,,1.3237012309618192,,0.0,,1150325,,0,,0,,0.0,,10664824,99.5,556.2708116002503,45.0
7,psn/freadi1,psn,276.20319986062316,36.0,1.5713848039215685,72.0,112838,99.0,71808,,13133542,99.0,24705,,117081,,4243,,2922379,,496878,,17.00251746950002,,32,,9585,,13547,,18108,,26750,,8598,,324.0,,1.0921532758403747,85.0,127.11888653367791,,301042,,44676,,31042,,24545,,10,,8246,,41301,,2255,,763,,58.6,,4832,99.6,3395,,18,,8246,,8067,,334,,0,,6199050,,28536486,,39513136,,17584940,,10308309,,676216,,4155323,,7420647,,6862000,,390000,,390000,,390000,,390000,,1489,,45028,,31305,,13387,,99.5355778071667,,22832,,15510,,1.0720255423044418,,1.4720825274016764,72.0,1277905,,632427,,115711,,18.29634092156091,,4939848,95.6,231.93952483801297,24.0,64061,,37504,,1.202300964678503,,1.7081111348122866,82.0,3196920,,1905249,,297164,,15.597121426123305,,16950676,99.3,318.13137644983294,37.0,4,,0,,0.2222222222222222,,0.0,,1080,,0,,0,,0.0,,1489,46.0,82.72222222222223,48.0,19560,,13650,,0.8640720943587932,,1.432967032967033,71.0,1358220,,216987,,47296,,21.796697498006793,,5327714,98.3,235.35424305340814,41.0,6351,,4741,,1.0468106148013845,,1.3395908036279267,65.0,364040,,165730,,36351,,21.9338683400712,,1312887,89.0,216.39805505192024,19.0,53,,0,,3.7857142857142856,,0.0,,885,,0,,0,,0.0,,45028,46.0,3216.285714285714,89.0
8,psn/chii__27,psn,351.76073613900695,62.0,1.8216613924050633,81.0,115129,99.1,63200,,13379025,99.0,30678,,120667,,5537,,3562996,,577818,,16.21719474285124,,50,,1795,,17468,,22725,,21162,,8924,,177.0,,1.075519641272362,84.0,124.98505301508712,,611117,,40554,,29538,,53429,,1040,,3751,,45715,,1570,,8296,,59.2,,4822,99.6,3310,,15,,8149,,7727,,302,,0,,6422750,,37654228,,34044600,,17379400,,12846320,,7502092,,5469829,,10058425,,3065000,,390000,,390000,,390000,,390000,,3848,,63588,,28260,,34533,,99.8653583843006,,27744,,14598,,1.0869769628584862,,1.9005343197698314,86.0,1531485,,750355,,144181,,19.215038215244785,,8919818,97.9,349.4678733740793,62.0,79567,,42318,,1.1149615346888444,,1.88021645635427,86.0,4281820,,2572735,,394141,,15.319922183979306,,26286660,99.7,368.3513865728739,53.0,1,,0,,0.03571428571428571,,0.0,,1710,,0,,0,,0.0,,3848,59.0,137.42857142857142,67.0,2225,,1398,,0.7787889394469724,,1.5915593705293276,77.0,171455,,23354,,5983,,25.618737689475036,,758762,84.0,265.57997899894997,52.0,5569,,3791,,0.7662355531095212,,1.469005539435505,71.0,436135,,214005,,33421,,15.616924838204715,,1637949,91.0,225.36447440836542,21.0,79,,0,,39.5,,0.0,,145,,0,,0,,0.0,,63588,53.0,31794.0,99.5
9,xbl/xxslowingxx,xbl,337.5792869914395,58.0,2.3355072463768116,90.0,122474,99.2,52440,,13910324,99.1,23780,,127099,,4625,,2814148,,572395,,20.339903942507643,,59,,4333,,12594,,17226,,20313,,8115,,295.0,,1.2233820459290188,90.0,138.94900660267103,,146253,,22344,,22476,,68472,,3747,,7096,,35250,,3000,,6893,,67.9,,4821,99.6,2261,,14,,7096,,6898,,370,,0,,6006715,,33795400,,45820016,,18912284,,9162271,,5755951,,5239927,,6380567,,6849000,,390000,,390000,,390000,,390000,,323,,5861101,,5844692,,15901,,99.92643131695881,,41869,,17317,,1.527396760542828,,2.4177975399896057,94.0,1644740,,969205,,214495,,22.131024912170282,,9247291,98.0,337.3446300890121,59.0,23250,,13492,,1.0180846871305338,,1.7232434034983695,82.0,1370235,,640909,,117059,,18.264527413408143,,7707329,97.7,337.49305950869206,43.0,0,,0,,0.0,,0.0,,1210,,0,,0,,0.0,,323,23.0,16.15,7.0,6562,,3118,,0.9079839490798395,,2.104554201411161,89.0,433675,,46671,,14853,,31.824901973388187,,2010981,94.0,278.25944375259445,57.0,34726,,16668,,1.2174309353526855,,2.083393328533717,89.0,1711490,,848061,,174599,,20.588023738858407,,9200689,99.2,322.5595638760342,52.0,16373,,0,,1.1621122861807083,,0.0,,845365,,0,,0,,0.0,,5861101,98.8,416.00546525658314,23.0
